backbone,head,track,seed,class,threshold,matched_bouts,median_tiou,median_abs_mean_boundary_offset_frames,median_abs_start_offset_frames,median_abs_end_offset_frames
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,mount,0.5,154,0.8285227272727274,9.5,7.0,10.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,attack,0.1,218,0.5304383116883117,16.5,12.0,12.5
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,attack,0.25,198,0.5625,15.25,11.0,10.5
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,attack,0.5,120,0.6884101941747574,9.5,7.0,7.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,investigation,0.1,756,0.6153846153846154,10.5,8.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,investigation,0.25,680,0.6484375,9.5,8.0,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,investigation,0.5,494,0.7391774891774892,8.0,7.0,7.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,mount,0.1,174,0.8191786283891547,10.0,7.0,10.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,mount,0.25,168,0.8212153143659993,9.5,7.0,10.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,44,mount,0.5,156,0.8278125000000001,9.0,6.5,9.5
