run_name,backend,stream,head,hidden_dim,seed,batch,epochs_completed,n_train_windows,n_val_windows,command_elapsed_s,mean_epoch_elapsed_s,sd_epoch_elapsed_s,train_windows_per_s_command,train_val_windows_per_s_command,train_windows_per_s_mean_epoch,train_val_windows_per_s_mean_epoch,max_cpu_percent_total,max_ram_used_gb,max_proc_tree_rss_gb,max_gpu_util_pct,max_gpu_mem_used_mb,max_gpu_power_w
yolo_sppf_no_group_visual_attention896_seed43,yolo_sppf,no_group_visual,attention,896,43,16,10,20414,10079,2072.86,33.45741113026937,79.96990306879259,98.48229016913828,147.10593093600147,610.1488223495924,911.3974742777564,51.5,8.319,1.05,39.0,1090.0,43.3
yolo_sppf_no_group_visual_attention896_seed44,yolo_sppf,no_group_visual,attention,896,44,16,10,20414,10079,2064.449,28.54002036367144,74.24469816162454,98.8835277597073,147.70527147921794,715.2762941257379,1068.429510961895,51.1,8.297,1.052,39.0,1090.0,46.71
yolo_sppf_no_group_visual_lstm256_seed42,yolo_sppf,no_group_visual,lstm,256,42,16,10,20414,10079,1942.837,24.41131722927093,62.07647728321116,105.07314818484517,156.95089191733533,836.2514733749041,1249.1337404536569,51.4,9.861,0.968,33.0,1235.0,18.45
yolo_sppf_no_group_visual_lstm256_seed43,yolo_sppf,no_group_visual,lstm,256,43,16,10,20414,10079,1937.756,31.667000889778137,71.49916540848207,105.3486610285299,157.3624336603783,644.6458277199683,962.9266789783968,52.4,9.919,0.967,33.0,1235.0,40.35
yolo_sppf_no_group_visual_lstm256_seed44,yolo_sppf,no_group_visual,lstm,256,44,16,10,20414,10079,1959.546,31.772194743156437,72.57164685619475,104.17719206387602,155.61257556597292,642.511484177437,959.7385464398247,51.3,10.01,0.969,38.0,1235.0,18.6
yolo_sppf_no_group_visual_lstm512_seed42,yolo_sppf,no_group_visual,lstm,512,42,16,10,20414,10079,1947.113,37.750370788574216,82.45688565642888,104.8424000045195,156.60621648563796,540.7629004316599,807.7536554748018,51.6,9.979,1.006,41.0,1293.0,24.39
yolo_sppf_no_group_visual_lstm512_seed43,yolo_sppf,no_group_visual,lstm,512,43,16,10,20414,10079,2422.707,79.59482989311218,80.43483850920676,84.26111783224303,125.86334212102412,256.4739446948243,383.1027723904809,53.3,10.173,1.005,34.0,1293.0,22.12
yolo_sppf_no_group_visual_lstm512_seed44,yolo_sppf,no_group_visual,lstm,512,44,16,10,20414,10079,1955.857,64.42802945772807,110.3954857538689,104.37368376113386,155.90608106829896,316.8496719800168,473.28779502726815,51.2,9.927,1.011,40.0,1293.0,23.48
yolo_sppf_no_group_visual_lstm896_seed42,yolo_sppf,no_group_visual,lstm,896,42,16,10,20414,10079,2022.005,39.228077220916745,85.352328202182,100.95919644115618,150.8057596296745,520.3925720100061,777.3258890124972,51.5,10.004,1.099,45.0,1401.0,45.54
yolo_sppf_no_group_visual_lstm896_seed43,yolo_sppf,no_group_visual,lstm,896,43,16,10,20414,10079,2019.988,39.12854042053223,85.63346672958953,101.0600062970671,150.95634231490484,521.7163681701759,779.3032827771713,51.4,9.971,1.068,44.0,1399.0,48.72
yolo_sppf_no_group_visual_lstm896_seed44,yolo_sppf,no_group_visual,lstm,896,44,16,10,20414,10079,2031.273,49.36705523729324,95.47061669993352,100.49855435483067,150.11768482129187,413.5146384947567,617.6791354766639,52.0,9.921,1.067,46.0,1399.0,47.51
yolo_sppf_no_relations_attention256_seed42,yolo_sppf,no_relations,attention,256,42,16,10,20414,10079,2004.537,32.70199501514435,74.13332722688284,101.83897827777686,152.11991597062064,624.2432607107378,932.4507567773356,51.0,8.18,0.954,34.0,950.0,20.07
yolo_sppf_no_relations_attention256_seed43,yolo_sppf,no_relations,attention,256,43,16,10,20414,10079,2001.362,32.5503058830897,74.0899688804088,102.00053763387132,152.36124199420195,627.1523245686406,936.7961121324364,51.8,8.229,0.955,34.0,950.0,19.43
yolo_sppf_no_relations_attention256_seed44,yolo_sppf,no_relations,attention,256,44,16,10,20414,10079,2001.891,39.01145062446594,80.84916057635826,101.97358397635035,152.32098051292502,523.2822587529572,781.6423001936868,60.0,8.251,0.955,34.0,950.0,19.91
yolo_sppf_no_relations_attention512_seed42,yolo_sppf,no_relations,attention,512,42,16,10,20414,10079,2015.862,28.122720377785814,69.0164550626778,101.2668525920921,151.2653147884131,725.8899468390352,1084.283440235265,51.3,8.182,0.962,35.0,952.0,20.35
yolo_sppf_no_relations_attention512_seed43,yolo_sppf,no_relations,attention,512,43,16,10,20414,10079,2025.289,39.57137942314148,81.38852220955876,100.7954914088804,150.56122854565447,515.8778970455052,770.5821845110506,52.2,8.223,0.959,34.0,952.0,20.3
yolo_sppf_no_relations_attention512_seed44,yolo_sppf,no_relations,attention,512,44,16,10,20414,10079,2025.839,33.077600042025246,74.67225451468447,100.76812619364124,150.52035230835224,617.154810931383,921.8625281537506,51.7,8.153,0.961,34.0,952.0,20.62
yolo_sppf_no_relations_attention896_seed42,yolo_sppf,no_relations,attention,896,42,16,10,20414,10079,2026.773,35.01203604539236,74.4190645369222,100.72168910874578,150.45098785113083,583.0566372527917,870.9290702336327,56.7,8.569,0.968,38.0,951.0,41.29
yolo_sppf_no_relations_attention896_seed43,yolo_sppf,no_relations,attention,896,43,16,10,20414,10079,2054.992,33.743563175201416,75.38429529908625,99.3385862329391,148.38500587836836,604.9746404672081,903.668644644194,51.0,8.446,0.966,35.0,951.0,20.7
yolo_sppf_no_relations_attention896_seed44,yolo_sppf,no_relations,attention,896,44,16,10,20414,10079,2063.464,28.86868817465646,70.03150258102937,98.9307300733136,147.77577898136337,707.1329281224927,1056.265522545271,51.8,8.524,0.967,35.0,951.0,20.3
yolo_sppf_no_relations_lstm256_seed42,yolo_sppf,no_relations,lstm,256,42,16,10,20414,10079,1882.423,20.52018274201287,57.37470271561356,108.44533880004654,161.98803350787787,994.8254485182788,1486.0004115640188,51.3,9.796,0.97,27.0,1223.0,18.71
yolo_sppf_no_relations_lstm256_seed43,yolo_sppf,no_relations,lstm,256,43,16,10,20414,10079,2284.445,113.68541280428568,90.34059772872536,89.36087320990437,133.4809986670723,179.56569357885496,268.22262634956525,55.3,10.48,0.967,27.0,1223.0,17.58
yolo_sppf_no_relations_lstm256_seed44,yolo_sppf,no_relations,lstm,256,44,16,10,20414,10079,1879.234,30.47297736008962,70.06031831615488,108.6293670719027,162.26292202035512,669.9050033337459,1000.657062146366,51.7,9.862,0.969,27.0,1223.0,17.8
yolo_sppf_no_relations_lstm512_seed42,yolo_sppf,no_relations,lstm,512,42,16,10,20414,10079,2078.606,29.60735205241612,72.01805890120364,98.2100503895399,146.6992782662996,689.4909063079859,1029.9131089472626,54.5,9.894,0.995,38.0,1259.0,24.44
yolo_sppf_no_relations_lstm512_seed43,yolo_sppf,no_relations,lstm,512,43,16,10,20414,10079,2039.357,30.35244631767273,71.41782816715657,100.10017863473634,149.52261913926793,672.5652287247086,1004.6307200696846,51.5,9.82,0.998,39.0,1259.0,20.62
yolo_sppf_no_relations_lstm512_seed44,yolo_sppf,no_relations,lstm,512,44,16,10,20414,10079,2049.529,35.85628835360209,76.53131131801189,99.60337228699862,148.7805246961619,569.3283085712699,850.4226566701152,55.2,9.989,0.997,39.0,1260.0,20.66
yolo_sppf_no_relations_lstm896_seed42,yolo_sppf,no_relations,lstm,896,42,16,10,20414,10079,2138.507,34.70047644774119,82.71027230758429,95.45912171435492,142.59013414498995,588.291634287599,878.7487412722521,52.4,9.989,1.056,41.0,1339.0,27.38
yolo_sppf_no_relations_lstm896_seed43,yolo_sppf,no_relations,lstm,896,43,16,10,20414,10079,2135.083,34.52738312880198,82.71699859659543,95.6122080499915,142.81880376547423,591.2408688445054,883.1541007972717,51.4,9.924,1.078,40.0,1339.0,28.18
yolo_sppf_no_relations_lstm896_seed44,yolo_sppf,no_relations,lstm,896,44,16,10,20414,10079,2130.854,41.351892185211184,90.42172725020193,95.80196484601947,143.10224914517843,493.6654387801081,737.4027738180579,51.7,9.962,1.027,40.0,1339.0,28.0
yolo_sppf_pose_relations_only_attention256_seed42,yolo_sppf,pose_relations_only,attention,256,42,16,10,20414,10079,1806.365,87.57164367039998,71.7154912401131,113.01148992590092,168.80862948518157,233.1119885888372,348.2063225256889,51.0,8.538,0.915,30.0,884.0,19.24
yolo_sppf_pose_relations_only_attention256_seed43,yolo_sppf,pose_relations_only,attention,256,43,16,10,20414,10079,1619.113,26.57280894120534,59.500093169378246,126.08137912548412,188.33151237745605,768.2289081733044,1147.5264081967557,53.7,8.745,0.904,40.0,884.0,19.57
yolo_sppf_pose_relations_only_attention256_seed44,yolo_sppf,pose_relations_only,attention,256,44,16,10,20414,10079,1607.43,33.809300374984744,63.5315709455132,126.99775417903112,189.7003290967569,603.7983564754321,901.911594200321,63.0,10.617,0.912,38.0,1521.0,40.99
yolo_sppf_pose_relations_only_attention512_seed42,yolo_sppf,pose_relations_only,attention,512,42,16,10,20414,10079,1686.877,27.73719219366709,66.6182912517224,121.0165293616547,180.7659953867413,735.9793254293737,1099.3542456313262,54.3,10.161,0.946,38.0,1332.0,24.91
yolo_sppf_pose_relations_only_attention512_seed43,yolo_sppf,pose_relations_only,attention,512,43,16,10,20414,10079,1673.539,32.45013613700867,71.08460998744343,121.98102344791486,182.20668893882964,629.0882698861247,939.6878913313218,51.0,8.314,0.984,35.0,991.0,26.36
yolo_sppf_pose_relations_only_attention512_seed44,yolo_sppf,pose_relations_only,attention,512,44,16,10,20414,10079,1677.378,32.58470253944397,70.75189185730893,121.7018465724482,181.78967412235048,626.4902978717923,935.807223131408,51.2,8.316,0.982,37.0,991.0,26.0
yolo_sppf_pose_relations_only_attention896_seed42,yolo_sppf,pose_relations_only,attention,896,42,16,10,20414,10079,1963.592,37.74335956573486,82.71434412666464,103.96253396836002,155.29193437333214,540.8633527825317,807.903704144104,50.9,8.28,1.042,39.0,1237.0,44.36
yolo_sppf_pose_relations_only_attention896_seed43,yolo_sppf,pose_relations_only,attention,896,43,16,10,20414,10079,1951.922,31.44786234696706,74.80948416623204,104.5840971104378,156.2203817570579,649.1379215149991,969.6366533142389,51.5,8.424,1.04,41.0,1237.0,47.21
