model_name,stream,head,capacity,seed,prediction_type,best_validation_macroF1,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,pred_bouts_total,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_no_group_visual_lstm256_seed43,no_group_visual,lstm,256,43,smoothed_frames,0.8190709731449475,0.741956280084537,0.6674002157324107,0.5141060469162465,1389,51.0,10.49,9.0,1.51,14.4
yolo_sppf_no_group_visual_lstm256_seed44,no_group_visual,lstm,256,44,smoothed_frames,0.8078814027405212,0.7287354003116879,0.6548470037879108,0.4937729865071095,1428,50.9,10.63,9.0,1.51,15.1
yolo_sppf_no_group_visual_lstm512_seed42,no_group_visual,lstm,512,42,smoothed_frames,0.8152308133502796,0.7285951018471332,0.6456525456627208,0.4931181672981543,1412,50.9,10.53,14.0,1.57,15.6
yolo_sppf_no_group_visual_lstm512_seed43,no_group_visual,lstm,512,43,smoothed_frames,0.8123009656654461,0.72353388177914,0.6346815935571882,0.4855207242897968,1324,50.9,10.56,14.0,1.57,16.5
yolo_sppf_no_group_visual_lstm512_seed44,no_group_visual,lstm,512,44,smoothed_frames,0.8114510775923437,0.7304990998592967,0.6436193374676097,0.4932312564956299,1423,50.9,10.64,15.0,1.57,17.6
yolo_sppf_no_group_visual_lstm896_seed42,no_group_visual,lstm,896,42,smoothed_frames,0.8365472614786265,0.7245358152611744,0.6407787875972711,0.4797643339410326,1401,50.8,10.43,29.0,1.68,20.0
yolo_sppf_no_group_visual_lstm896_seed43,no_group_visual,lstm,896,43,smoothed_frames,0.8278714452935829,0.7310799940899907,0.6424808205018261,0.4966673161811509,1357,50.8,10.49,28.0,1.68,19.6
yolo_sppf_no_group_visual_lstm896_seed44,no_group_visual,lstm,896,44,smoothed_frames,0.8099336475463665,0.7275497102338984,0.6410622455632425,0.4900390267591986,1341,50.9,10.48,29.0,1.68,20.1
yolo_sppf_no_relations_attention256_seed42,no_relations,attention,256,42,smoothed_frames,0.798687287354521,0.6998316300169491,0.609433028802042,0.4547682766363085,1478,50.8,8.72,13.0,1.21,16.2
yolo_sppf_no_relations_attention256_seed43,no_relations,attention,256,43,smoothed_frames,0.7840579149754211,0.6971855136540246,0.6165955606205609,0.4387488655390251,1451,50.7,8.64,13.0,1.21,16.5
yolo_sppf_no_relations_attention256_seed44,no_relations,attention,256,44,smoothed_frames,0.7896649484544078,0.6905300375014078,0.6053137894328939,0.4351625858142134,1431,50.7,8.71,12.0,1.21,16.4
yolo_sppf_no_relations_attention512_seed42,no_relations,attention,512,42,smoothed_frames,0.7837620283843384,0.6908812577649778,0.6041061491919172,0.4249966927961108,1452,50.7,8.63,14.0,1.21,16.3
yolo_sppf_no_relations_attention512_seed43,no_relations,attention,512,43,smoothed_frames,0.7845804487113207,0.6994569456104749,0.6135744452123938,0.4337682557920762,1430,50.7,8.8,13.0,1.21,16.2
yolo_sppf_no_relations_attention512_seed44,no_relations,attention,512,44,smoothed_frames,0.7874039359989354,0.6759678604221981,0.599737992034848,0.3961088086533952,1534,50.7,8.69,14.0,1.21,16.0
yolo_sppf_no_relations_attention896_seed42,no_relations,attention,896,42,smoothed_frames,0.8013799090393026,0.7019983703016789,0.6136044014654534,0.4560880957582976,1463,50.7,8.98,15.0,1.21,16.8
yolo_sppf_no_relations_attention896_seed43,no_relations,attention,896,43,smoothed_frames,0.797177403481984,0.7065104512479293,0.612272981074101,0.4419334415237799,1475,50.7,8.93,14.0,1.21,17.5
yolo_sppf_no_relations_attention896_seed44,no_relations,attention,896,44,smoothed_frames,0.7918481031873859,0.6833398258893518,0.6149438775147494,0.4122346317913768,1504,50.7,8.93,14.0,1.21,16.2
yolo_sppf_no_relations_lstm256_seed42,no_relations,lstm,256,42,smoothed_frames,0.7762667359394563,0.697658850143488,0.6258049216723407,0.4630960452018273,1473,50.9,10.46,9.0,1.49,14.3
yolo_sppf_no_relations_lstm256_seed43,no_relations,lstm,256,43,smoothed_frames,0.7807506644373114,0.694985947325698,0.6216692094401136,0.442104070207597,1527,51.0,10.44,8.0,1.49,14.7
yolo_sppf_no_relations_lstm256_seed44,no_relations,lstm,256,44,smoothed_frames,0.7651601165154882,0.6678242991357546,0.6009240197907982,0.4157951124910418,1661,50.9,10.47,9.0,1.49,14.4
yolo_sppf_no_relations_lstm512_seed42,no_relations,lstm,512,42,smoothed_frames,0.7996777961508921,0.7020267884032722,0.6436217266149743,0.4570365210781145,1525,51.1,10.64,11.0,1.53,10.1
yolo_sppf_no_relations_lstm512_seed43,no_relations,lstm,512,43,smoothed_frames,0.7856497521919609,0.696435610959633,0.6272208822654773,0.4565030113708059,1559,51.0,10.44,11.0,1.53,16.4
yolo_sppf_no_relations_lstm512_seed44,no_relations,lstm,512,44,smoothed_frames,0.7648208112772666,0.6956724831849052,0.6240932983220111,0.4441949997687027,1497,52.4,10.68,11.0,1.53,16.0
yolo_sppf_no_relations_lstm896_seed42,no_relations,lstm,896,42,smoothed_frames,0.784745323374984,0.7007144210115452,0.6297442663610983,0.4549990398211115,1510,51.1,10.48,22.0,1.62,17.7
yolo_sppf_no_relations_lstm896_seed43,no_relations,lstm,896,43,smoothed_frames,0.7942408578812064,0.7025335417630172,0.6353877007901356,0.4675411039986956,1542,50.7,10.63,22.0,1.62,19.8
yolo_sppf_no_relations_lstm896_seed44,no_relations,lstm,896,44,smoothed_frames,0.7802120243649275,0.6851911314058243,0.616125290216818,0.4344066773700817,1539,50.8,10.52,23.0,1.62,19.0
yolo_sppf_pose_relations_only_attention256_seed42,pose_relations_only,attention,256,42,smoothed_frames,0.7821154596773076,0.7265982871169935,0.6581972278031774,0.5065210952882805,1439,50.7,9.15,11.0,1.14,16.5
yolo_sppf_pose_relations_only_attention256_seed43,pose_relations_only,attention,256,43,smoothed_frames,0.7855082301353853,0.715972516570136,0.6606950941461278,0.5079616703140309,1455,51.8,9.3,12.0,1.14,10.2
yolo_sppf_pose_relations_only_attention256_seed44,pose_relations_only,attention,256,44,smoothed_frames,0.7874310446939319,0.7287357523477821,0.6691412143473121,0.5051706266676873,1486,53.0,11.0,29.0,1.49,15.3
yolo_sppf_pose_relations_only_attention512_seed42,pose_relations_only,attention,512,42,smoothed_frames,0.787500611655588,0.7286145039457866,0.6643728416119303,0.5046978367202365,1465,51.0,8.67,17.0,1.25,16.6
yolo_sppf_pose_relations_only_attention512_seed43,pose_relations_only,attention,512,43,smoothed_frames,0.7864197363042403,0.7277091018821619,0.6515536729036231,0.5135897710129965,1375,50.6,8.7,17.0,1.25,19.0
yolo_sppf_pose_relations_only_attention512_seed44,pose_relations_only,attention,512,44,smoothed_frames,0.7882163887771776,0.7259207795925081,0.6542795444098111,0.4943689184707013,1413,50.6,8.81,18.0,1.25,17.2
yolo_sppf_pose_relations_only_attention896_seed42,pose_relations_only,attention,896,42,smoothed_frames,0.8023059738845193,0.7313055854028814,0.6593708553115734,0.5135816217406927,1374,50.5,8.6,39.0,1.51,24.3
