"route","model_name","stream","head","hidden_dim","window_frames","stride_frames","seed","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","source_config"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention512_seed43","pose_relations_only","attention","512","32","16","43","5029380","5029380","0","5029380","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention512_seed44","pose_relations_only","attention","512","32","16","44","5029380","5029380","0","5029380","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention896_seed42","pose_relations_only","attention","896","32","16","42","14650500","14650500","0","14650500","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention896_seed43","pose_relations_only","attention","896","32","16","43","14650500","14650500","0","14650500","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention896_seed44","pose_relations_only","attention","896","32","16","44","14650500","14650500","0","14650500","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm256_seed42","pose_relations_only","lstm","256","32","16","42","1135364","1135364","0","1135364","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm256_seed43","pose_relations_only","lstm","256","32","16","43","1135364","1135364","0","1135364","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm256_seed44","pose_relations_only","lstm","256","32","16","44","1135364","1135364","0","1135364","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm512_seed42","pose_relations_only","lstm","512","32","16","42","3974660","3974660","0","3974660","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm512_seed43","pose_relations_only","lstm","512","32","16","43","3974660","3974660","0","3974660","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm512_seed44","pose_relations_only","lstm","512","32","16","44","3974660","3974660","0","3974660","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm896_seed42","pose_relations_only","lstm","896","32","16","42","11428484","11428484","0","11428484","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm896_seed43","pose_relations_only","lstm","896","32","16","43","11428484","11428484","0","11428484","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed43\config.json"
