"route","stream","head","hidden_dim","window_frames","stride_frames","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","n_seed_configs","seeds","n_source_configs","source_configs"
"DLC-HRNet top-down","full","attention","256","32","16","8214012","8214012","0","8214012","480","1344","1","42","1","<RUN_ROOT>\MARS_DLC_SuperAnimal\behaviorscope_outputs\dlc_topdown_attention256_training\mars_dlc_topdown_hrnet_attention256_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","8","4","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w8s4_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","16","8","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w16s8_seed42\config.json"
"MARS YOLO/SPPF","no_relations","attention","256","32","16","3268548","2152804","0","2152804","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed44\config.json"
"MARS YOLO/SPPF","no_relations","attention","512","32","16","3515588","2399844","0","2399844","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed44\config.json"
"MARS YOLO/SPPF","no_relations","attention","896","32","16","4131908","3016164","0","3016164","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed44\config.json"
"MARS YOLO/SPPF","no_relations","lstm","256","32","16","2542916","1427172","0","1427172","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed44\config.json"
"MARS YOLO/SPPF","no_relations","lstm","512","32","16","4235332","3119588","0","3119588","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed44\config.json"
"MARS YOLO/SPPF","no_relations","lstm","896","32","16","8002756","6887012","0","6887012","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","attention","256","32","16","1400580","1400580","0","1400580","0","512","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","attention","512","32","16","5029380","5029380","0","5029380","0","1024","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","attention","896","32","16","14650500","14650500","0","14650500","0","1792","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","lstm","256","32","16","1135364","1135364","0","1135364","0","512","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","lstm","512","32","16","3974660","3974660","0","3974660","0","1024","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","pose_relations_only","lstm","896","32","16","11428484","11428484","0","11428484","0","1792","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed44\config.json"
"MARS YOLO/SPPF","visual_only","attention","256","32","16","3268548","2152804","0","2152804","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","visual_only","attention","512","32","16","3515588","2399844","0","2399844","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","visual_only","attention","896","32","16","4131908","3016164","0","3016164","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","visual_only","lstm","256","32","16","2542916","1427172","0","1427172","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","visual_only","lstm","512","32","16","4235332","3119588","0","3119588","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","visual_only","lstm","896","32","16","8002756","6887012","0","6887012","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed44\config.json"
