model_name,stream,head,capacity,seed,prediction_type,evaluated_videos,total_frames,gt_bouts_total,pred_bouts_total,mean_accuracy,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou10_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,sd_accuracy,sd_frame_macro_f1_present_behaviors,sd_bout_macro_f1_iou10_present_behaviors,sd_bout_macro_f1_iou25_present_behaviors,sd_bout_macro_f1_iou50_present_behaviors,best_val_epoch,best_epoch_train_loss,best_epoch_val_loss,best_validation_macroF1,best_epoch_elapsed_s,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_full_attention512_seed44,full,attention,512,44,raw_windows,28,348368,2031,1379,0.8776888469405894,0.7392571738377152,0.7132316747401196,0.6716020797162308,0.5233390440186573,0.04934422471864159,0.1313983189427443,0.14237035812488888,0.1625053688951076,0.2063329605569742,7,0.3629595080148253,0.3395900845087857,0.8347494073120139,197.3855776786804,50.8,9.15,20.0,1.31,17.5
yolo_sppf_full_attention512_seed44,full,attention,512,44,smoothed_frames,28,348368,2031,1383,0.8776266027734717,0.739210170808651,0.7130846892157504,0.6713003212284779,0.5230978358291557,0.049364311180137205,0.13147280163712963,0.14257124429835105,0.16297407163475316,0.20654847255694966,7,0.3629595080148253,0.3395900845087857,0.8347494073120139,197.3855776786804,50.8,9.15,20.0,1.31,17.5
yolo_sppf_full_attention896_seed42,full,attention,896,42,raw_windows,28,348368,2031,1367,0.8842739633731017,0.7434205977872919,0.719470593078762,0.6770704396690921,0.5336874917160943,0.0478389940300751,0.12997007395126495,0.13258656152787796,0.14648973338833005,0.20036741091192753,10,0.3383295715678495,0.3471264110803271,0.8415685156173377,421.7982020378113,40.8,9.17,25.0,1.41,20.2
yolo_sppf_full_attention896_seed42,full,attention,896,42,smoothed_frames,28,348368,2031,1371,0.8842117192059841,0.7433724478005181,0.7193334147978643,0.6767602951748781,0.53346505782857,0.04783815072191295,0.13004819131697878,0.13285302993830742,0.14703914208635704,0.2006258587436147,10,0.3383295715678495,0.3471264110803271,0.8415685156173377,421.7982020378113,40.8,9.17,25.0,1.41,20.2
yolo_sppf_full_attention896_seed43,full,attention,896,43,raw_windows,28,348368,2031,1420,0.8755773833736372,0.7461696644354872,0.7160928879041714,0.6690626712842389,0.5192750423227566,0.04909782339080183,0.11827789245333806,0.11671580673063962,0.12788450131095705,0.1703376445634436,8,0.3536568544994817,0.3452142399878496,0.8401199580134042,206.36154294013977,51.0,9.25,31.0,1.42,17.2
yolo_sppf_full_attention896_seed43,full,attention,896,43,smoothed_frames,28,348368,2031,1424,0.8755151392065195,0.7461206645321468,0.7159446201163097,0.6687450156366339,0.5190756747738604,0.049106583372363094,0.11836349923729868,0.11705473388920448,0.12841123071353366,0.17058409662469104,8,0.3536568544994817,0.3452142399878496,0.8401199580134042,206.36154294013977,51.0,9.25,31.0,1.42,17.2
yolo_sppf_full_attention896_seed44,full,attention,896,44,raw_windows,28,348368,2031,1417,0.8718185355105676,0.7399863055806114,0.7109411036283085,0.66624910036984,0.5068332871556204,0.05215561684159074,0.12449976038621108,0.13496780627075894,0.14948273250529806,0.18146825733117272,8,0.3450423198566716,0.3515713949685007,0.831596561367896,204.43303394317627,50.8,9.26,30.0,1.42,21.2
yolo_sppf_full_attention896_seed44,full,attention,896,44,smoothed_frames,28,348368,2031,1420,0.8717562913434501,0.7399386743594951,0.7106908533780583,0.6659988501195897,0.5066545369768701,0.0521644691060426,0.12457879247324213,0.13541477170639477,0.14985025923536616,0.1816451646300636,8,0.3450423198566716,0.3515713949685007,0.831596561367896,204.43303394317627,50.8,9.26,30.0,1.42,21.2
yolo_sppf_full_lstm256_seed42,full,lstm,256,42,raw_windows,28,348368,2031,1371,0.8852967224509095,0.7519556930617116,0.7069980599592327,0.6708618975731523,0.5476133674636432,0.05078583502877148,0.13161878498037205,0.138166021105296,0.1511243022279892,0.20668015181708438,6,0.4033964411691298,0.388136464818972,0.8272902569031055,195.948267698288,50.9,9.18,11.0,1.18,16.2
yolo_sppf_full_lstm256_seed42,full,lstm,256,42,smoothed_frames,28,348368,2031,1375,0.885234478283792,0.7519064630128556,0.7068733336708769,0.6706020749192384,0.5474456683946922,0.05078901933352101,0.1316738930346916,0.13822711041900787,0.15141933926336765,0.2068342694038638,6,0.4033964411691298,0.388136464818972,0.8272902569031055,195.948267698288,50.9,9.18,11.0,1.18,16.2
yolo_sppf_full_lstm256_seed43,full,lstm,256,43,raw_windows,28,348368,2031,1355,0.889347003953099,0.7402877860377253,0.7107847171680282,0.6748515095807152,0.5400776728528544,0.04664957220564141,0.12841365548418432,0.12005887813265415,0.13517038400049783,0.18498964063794562,10,0.3607465417772461,0.3878758613526495,0.824184066701277,195.3855800628662,50.9,9.25,10.0,1.18,16.3
yolo_sppf_full_lstm256_seed43,full,lstm,256,43,smoothed_frames,28,348368,2031,1359,0.8892847597859814,0.7402378325308347,0.7106494523341251,0.67456869530558,0.5398920047158678,0.04664720005007844,0.12845943015348632,0.120127134428348,0.13544857932385837,0.18512164623856767,10,0.3607465417772461,0.3878758613526495,0.824184066701277,195.3855800628662,50.9,9.25,10.0,1.18,16.3
yolo_sppf_full_lstm256_seed44,full,lstm,256,44,raw_windows,28,348368,2031,1443,0.880925314382152,0.7478599522372712,0.720561255437096,0.6717106728667603,0.5377404019132003,0.049033524302511,0.1260284908456838,0.1264531226943983,0.15250809446098285,0.19682212629581092,6,0.4068897950979749,0.3737230876604804,0.8181819595220676,194.1421480178833,51.0,9.21,10.0,1.18,15.8
yolo_sppf_full_lstm256_seed44,full,lstm,256,44,smoothed_frames,28,348368,2031,1446,0.8808630702150345,0.7478108053794527,0.7203156016200135,0.6715028119446137,0.5375892303334573,0.0490322798463782,0.12608319273035518,0.12676223695037991,0.15273241061008647,0.19691957865215906,6,0.4068897950979749,0.3737230876604804,0.8181819595220676,194.1421480178833,51.0,9.21,10.0,1.18,15.8
yolo_sppf_full_lstm512_seed42,full,lstm,512,42,raw_windows,28,348368,2031,1416,0.8755276465672972,0.7312009577081566,0.7107356190718477,0.6640463016199989,0.49834217676391795,0.04818493940750476,0.12173946279983129,0.13456118394888708,0.144092792648346,0.18221687308250456,10,0.3240077143511662,0.398654949737783,0.8218104569511947,189.89037585258484,51.0,9.43,16.0,1.25,15.2
yolo_sppf_full_lstm512_seed42,full,lstm,512,42,smoothed_frames,28,348368,2031,1419,0.8754654024001794,0.7311520906740132,0.7105032438394725,0.6638318014054986,0.4982170516387928,0.04819582400688349,0.12182887815057214,0.13505227454471744,0.14450918625845727,0.18239013206995072,10,0.3240077143511662,0.398654949737783,0.8218104569511947,189.89037585258484,51.0,9.43,16.0,1.25,15.2
yolo_sppf_full_lstm512_seed43,full,lstm,512,43,raw_windows,28,348368,2031,1360,0.8893528352883705,0.7273585606984827,0.6828885324220529,0.6470442991342671,0.508902744803303,0.04746453832570896,0.13215750418625843,0.12134433705902253,0.13284611215428618,0.17160262051394679,10,0.3412915492696004,0.4016812041318709,0.8247929015347861,190.0843255519867,50.8,9.31,16.0,1.25,16.3
