stream,head,capacity,class,threshold,n_seeds,matched_bouts_mean,median_tiou_mean,median_tiou_sd,median_abs_start_offset_frames_mean,median_abs_start_offset_frames_sd,median_abs_end_offset_frames_mean,median_abs_end_offset_frames_sd,median_abs_mean_boundary_offset_frames_mean,median_abs_mean_boundary_offset_frames_sd,median_duration_error_frames_mean,median_duration_error_frames_sd,median_abs_duration_error_frames_mean,median_abs_duration_error_frames_sd,median_pred_duration_frames_mean,median_pred_duration_frames_sd,median_gt_duration_frames_mean,median_gt_duration_frames_sd
animal_visual_only,attention,512,attack,0.25,3,163.66666666666666,0.5242959001782531,0.0137107474588427,20.666666666666668,1.5275252316519465,17.333333333333332,2.081665999466133,23.5,2.179449471770337,32.666666666666664,5.033222956847166,39.333333333333336,3.055050463303893,105.66666666666667,18.475208614068027,68.33333333333333,2.516611478423583
animal_visual_only,attention,512,attack,0.5,3,88.66666666666667,0.6687810895109032,0.023382889330798136,14.833333333333334,1.4433756729740645,12.166666666666666,2.0207259421636903,16.583333333333332,1.808544534517559,21.833333333333332,0.7637626158259734,28.333333333333332,2.081665999466133,100.33333333333333,9.237604307034012,80.5,5.220153254455275
animal_visual_only,attention,512,investigation,0.1,3,696.6666666666666,0.4964908392434988,0.006078044722186926,12.666666666666666,1.1547005383792517,14.666666666666666,0.5773502691896258,15.833333333333334,0.7637626158259732,18.333333333333332,3.0550504633038935,25.666666666666668,0.5773502691896255,63.0,0.0,41.333333333333336,2.3094010767585034
animal_visual_only,attention,512,investigation,0.25,3,581.3333333333334,0.5603016690436867,0.014902442611441752,11.833333333333334,1.040832999733066,12.333333333333334,0.5773502691896258,14.0,0.5,16.333333333333332,3.0550504633038935,23.666666666666668,0.5773502691896255,63.0,0.0,51.833333333333336,5.392896562454479
animal_visual_only,attention,512,investigation,0.5,3,356.0,0.688963963963964,0.0025356599660355406,10.333333333333334,1.5275252316519465,9.333333333333334,0.5773502691896258,11.5,0.0,11.833333333333334,2.362907813126304,18.333333333333332,0.5773502691896263,79.0,0.0,66.5,3.122498999199199
animal_visual_only,attention,512,mount,0.1,3,157.0,0.7607804232804233,0.01384109311935143,8.5,0.5,13.833333333333334,1.0408329997330665,12.583333333333334,0.8779711460710617,-2.8333333333333335,4.252450274057692,19.833333333333332,2.02072594216369,89.66666666666667,9.237604307034012,101.33333333333333,1.6072751268321572
animal_visual_only,attention,512,mount,0.25,3,151.0,0.7763201134278278,0.010603678215093223,8.5,0.5,13.166666666666666,0.28867513459481275,12.333333333333334,0.8779711460710617,-2.1666666666666665,4.010403138505321,19.0,1.7320508075688772,97.66666666666667,12.220201853215572,100.83333333333333,0.7637626158259714
animal_visual_only,attention,512,mount,0.5,3,130.33333333333334,0.8116939586936583,0.0018736153632808686,8.333333333333334,0.5773502691896258,11.666666666666666,0.5773502691896258,10.916666666666666,0.3818813079129864,0.6666666666666666,1.2583057392117918,16.5,1.3228756555322954,111.0,0.0,106.83333333333333,4.0722639076235385
animal_visual_only,attention,896,attack,0.1,3,208.33333333333334,0.4555431547619047,0.022874926960080085,22.166666666666668,1.258305739211792,18.666666666666668,1.1547005383792517,26.333333333333332,3.214550253664318,36.0,4.8218253804964775,42.666666666666664,3.785938897200182,105.66666666666667,18.475208614068027,58.833333333333336,1.443375672974065
animal_visual_only,attention,896,attack,0.25,3,170.66666666666666,0.5284193072446981,0.02019849178475487,20.333333333333332,1.5275252316519463,17.166666666666668,1.2583057392117918,21.833333333333332,1.7559422921421233,32.166666666666664,2.929732638541157,37.833333333333336,2.3629078131263044,105.66666666666667,18.475208614068027,68.16666666666667,2.254624876411449
animal_visual_only,attention,896,attack,0.5,3,94.0,0.6692994935585971,0.01581404491219903,14.166666666666666,0.7637626158259732,11.666666666666666,1.5275252316519468,15.833333333333334,0.3818813079129864,21.666666666666668,0.5773502691896263,28.0,0.0,100.33333333333333,9.237604307034012,78.16666666666667,3.5472994422987956
animal_visual_only,attention,896,investigation,0.1,3,694.0,0.49774564676616917,0.019106537057888662,13.0,1.7320508075688772,14.333333333333334,0.5773502691896258,16.666666666666668,1.6072751268321586,20.0,6.557438524302,26.666666666666668,3.785938897200182,63.0,0.0,41.333333333333336,3.0550504633038944
