model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Composition shuffle,null,0,8,Composition shuffle,null,Rare,0.0
Composition shuffle,null,0,8,Composition shuffle,null,Intermediate,0.9029411764705882
Composition shuffle,null,0,8,Composition shuffle,null,Common,0.7506142506142506
Markov baseline,null,0,8,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,8,Markov baseline,null,Intermediate,0.8676470588235294
Markov baseline,null,0,8,Markov baseline,null,Common,0.8212530712530712
Composition shuffle,null,0,9,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,9,Composition shuffle,null,Intermediate,0.9088235294117647
Composition shuffle,null,0,9,Composition shuffle,null,Common,0.769041769041769
Markov baseline,null,0,9,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,9,Markov baseline,null,Intermediate,0.8647058823529412
Markov baseline,null,0,9,Markov baseline,null,Common,0.835995085995086
Composition shuffle,null,0,10,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,10,Composition shuffle,null,Intermediate,0.8823529411764706
Composition shuffle,null,0,10,Composition shuffle,null,Common,0.7604422604422605
Markov baseline,null,0,10,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,10,Markov baseline,null,Intermediate,0.8470588235294118
Markov baseline,null,0,10,Markov baseline,null,Common,0.85995085995086
Composition shuffle,null,0,11,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,11,Composition shuffle,null,Intermediate,0.9117647058823529
Composition shuffle,null,0,11,Composition shuffle,null,Common,0.7395577395577395
Markov baseline,null,0,11,Markov baseline,null,Rare,0.14285714285714285
Markov baseline,null,0,11,Markov baseline,null,Intermediate,0.8852941176470588
Markov baseline,null,0,11,Markov baseline,null,Common,0.8660933660933661
Composition shuffle,null,0,12,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,12,Composition shuffle,null,Intermediate,0.8852941176470588
Composition shuffle,null,0,12,Composition shuffle,null,Common,0.75
Markov baseline,null,0,12,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,12,Markov baseline,null,Intermediate,0.8647058823529412
Markov baseline,null,0,12,Markov baseline,null,Common,0.8347665847665847
Composition shuffle,null,0,13,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,13,Composition shuffle,null,Intermediate,0.9088235294117647
Composition shuffle,null,0,13,Composition shuffle,null,Common,0.75
Markov baseline,null,0,13,Markov baseline,null,Rare,0.2857142857142857
Markov baseline,null,0,13,Markov baseline,null,Intermediate,0.8352941176470589
Markov baseline,null,0,13,Markov baseline,null,Common,0.8660933660933661
Composition shuffle,null,0,14,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,14,Composition shuffle,null,Intermediate,0.9176470588235294
Composition shuffle,null,0,14,Composition shuffle,null,Common,0.75
Markov baseline,null,0,14,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,14,Markov baseline,null,Intermediate,0.8911764705882353
Markov baseline,null,0,14,Markov baseline,null,Common,0.855036855036855
Composition shuffle,null,0,15,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,15,Composition shuffle,null,Intermediate,0.8529411764705882
