stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
pose_relations_only,attention,256,smoothed_frames,3,28.0,0.8745494081431828,0.7237688520116373,0.7078684947385895,0.6626778454322058,0.5065511307566662,0.0029691731555587814,0.0068358850297904365,0.006423393131579496,0.005735083902296761,0.0013957642193327862
pose_relations_only,attention,512,raw_windows,3,28.0,0.8767565180774123,0.7274619980207221,0.7026185498699803,0.6569835688254549,0.5043767626506414,0.004138356600309262,0.0013703896657161437,0.006419473537158819,0.006717294675919652,0.009643801401547577
pose_relations_only,attention,512,smoothed_frames,3,28.0,0.8766942739102946,0.7274147951401523,0.7024268666829633,0.6567353529751215,0.5042188420679782,0.004138356600309304,0.0013707662334094999,0.006374154842269938,0.006753222813968157,0.009619374720886642
pose_relations_only,attention,896,raw_windows,3,28.0,0.8775317657097913,0.7280114891481557,0.7069487856608655,0.6621061135857744,0.5075340152352737,0.00463556127821763,0.004069992660346632,0.005837006275307776,0.0021207742182091554,0.012262275264647121
pose_relations_only,attention,896,smoothed_frames,3,28.0,0.8774695215426737,0.7279640520343964,0.7068222751002279,0.6618180663228063,0.5073505145214591,0.004635561278217725,0.004069575763690855,0.005831036142523688,0.002122098728450999,0.012279866351063744
pose_relations_only,lstm,256,raw_windows,3,28.0,0.8745796317011797,0.7106036670679209,0.6880501456005949,0.6409433471875855,0.48723725600413365,0.005214095550044141,0.007695787105861292,0.0008299370675049491,0.005685261235640182,0.015486343725875993
pose_relations_only,lstm,256,smoothed_frames,3,28.0,0.8745173875340623,0.7105569333640606,0.6878549727571136,0.6407052920089148,0.48709939727548307,0.005214095550044159,0.007694421222879924,0.0008445705229998095,0.005653068514424422,0.01547646510718299
pose_relations_only,lstm,512,raw_windows,3,28.0,0.8718653622079215,0.7112519049460135,0.6938277971747637,0.6419438558463475,0.4794387487366847,0.004009465408437233,0.0051266377507960805,0.00903593952343311,0.008736301113113396,0.0133052168731642
pose_relations_only,lstm,512,smoothed_frames,3,28.0,0.871803118040804,0.7112046781253208,0.6935932088449372,0.6417155663323437,0.479309878369719,0.004009465408437293,0.005126785515875246,0.009029146895010378,0.008734418088683221,0.013294253979785117
pose_relations_only,lstm,896,raw_windows,3,28.0,0.8706252354041669,0.7122086124404615,0.6874824110407353,0.6404806122005334,0.48139997208684476,0.012817429811681156,0.008851934552331998,0.009595446656579762,0.0015755574968433644,0.021750707102893733
pose_relations_only,lstm,896,smoothed_frames,3,28.0,0.8705629912370494,0.712162034511144,0.6872474822343778,0.6402645798416439,0.4812707612433482,0.012817429811681115,0.008849617837024275,0.009605038725433817,0.0015734677579630858,0.02174971733082119
visual_only,attention,256,raw_windows,3,28.0,0.8491853731022578,0.6867030380198212,0.6609728538493379,0.5998162577889817,0.42691052306175764,0.0024287367276178626,0.0028419172391808112,0.005870354846271833,0.007288238584797809,0.00823439907302227
visual_only,attention,256,smoothed_frames,3,28.0,0.8491231289351403,0.6866575347431693,0.6608943920064225,0.5995772390294348,0.42677439688113883,0.0024287367276178565,0.002841601269439591,0.005913227022937711,0.007253205387116665,0.00824075046706945
visual_only,attention,512,raw_windows,3,28.0,0.8449089529509194,0.6804964563678717,0.6573737729087571,0.5955978428072811,0.41455271268974964,0.013995280711528111,0.006984754550897455,0.012758865391699709,0.01293183279306795,0.023561226749293684
visual_only,attention,512,smoothed_frames,3,28.0,0.8448467087838019,0.6804518783937294,0.6572627629988939,0.5953187804071476,0.4144421113864732,0.013995280711528106,0.006983378533867443,0.012809059707742225,0.012975327741818497,0.023527290672152763
visual_only,attention,896,raw_windows,3,28.0,0.8471100820535229,0.6867686521019524,0.6585757904892149,0.6002796462333672,0.4251035759884891,0.005174794585575067,0.004298361808484332,0.010870358642504857,0.005294784498666774,0.005255523926680015
visual_only,attention,896,smoothed_frames,3,28.0,0.8470478378864055,0.6867240836390641,0.6584969213603872,0.6000510108107545,0.4249704096792511,0.005174794585575067,0.004298725682079838,0.010888384789636473,0.005268640612565988,0.00525563478961057
visual_only,lstm,256,raw_windows,3,28.0,0.8435507579632898,0.6716936904660621,0.6495396084119275,0.5935870605970802,0.41621037445212766,0.00791349549596718,0.003024789616519459,0.005879587368158928,0.0059803699940440625,0.010092311217850933
visual_only,lstm,256,smoothed_frames,3,28.0,0.8434885137961721,0.671652952156318,0.6493632748147403,0.5933824656334671,0.4161170345419323,0.007913495495967048,0.00302535279419176,0.005831788827244474,0.005976280723426474,0.010119316388947213
visual_only,lstm,512,raw_windows,3,28.0,0.8518454729424741,0.6682816654770992,0.6436874731547083,0.5811181573953489,0.4017408117940136,0.001870894883772342,0.0036761804010473835,0.00556324152205893,0.004806969402424832,0.004466784266910371
visual_only,lstm,512,smoothed_frames,3,28.0,0.8517832287753566,0.668239295308584,0.6436110312772382,0.5809236308278191,0.40161948579072965,0.001870894883772342,0.003676839551902853,0.005538462559365718,0.004802485817368982,0.004459349037850679
visual_only,lstm,896,raw_windows,3,28.0,0.839160940872497,0.6746258236894178,0.6531186334965202,0.5953414088346535,0.41846156918071425,0.010558638070220493,0.0033288537940135638,0.0006434911512975443,0.0050086461503107815,0.011587610684746867
