source,track,head,capacity,n,n_samples,ngram_f1_mean,ngram_f1_sd,ngram_precision_mean,ngram_precision_sd,ngram_recall_mean,ngram_recall_sd,sequence_length_ratio_pred_over_gt_mean,sequence_length_ratio_pred_over_gt_sd
model,LSTM-512,lstm,512,3,3,0.7036522577370595,0.02442659005948315,0.8553013695929105,0.026070132513697407,0.6193435323746986,0.024850967400703135,0.7365683397254802,0.03238366168265231
model,LSTM-512,lstm,512,4,3,0.6339715202124103,0.026410967917496884,0.7714362767490028,0.03398677793724285,0.557642390765573,0.02274976475969083,0.7365683397254802,0.03238366168265231
model,LSTM-896,lstm,896,1,3,0.7954031881191795,0.00568134638144764,0.9575867347634787,0.0013865987617525243,0.7079110211770058,0.006613405406143693,0.7493298674043568,0.007977367912112903
model,LSTM-896,lstm,896,2,3,0.75365837551777,0.015024276311955465,0.9097292418784386,0.016146164428906668,0.6705479877307994,0.013158473043696134,0.7493298674043568,0.007977367912112903
model,LSTM-896,lstm,896,3,3,0.6968065898997513,0.02347972579875776,0.8483701488001643,0.027894312839034627,0.6173272223083491,0.020133128849534547,0.7493298674043568,0.007977367912112903
model,LSTM-896,lstm,896,4,3,0.628807628854942,0.030474439033064814,0.770540199821629,0.038931111399932335,0.5556851424859448,0.0257036638874725,0.7493298674043568,0.007977367912112903
null,Composition shuffle,null,0,1,250,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
null,Composition shuffle,null,0,2,250,0.882818703424031,0.009501831102123265,0.882818703424031,0.009501831102123267,0.882818703424031,0.009501831102123267,1.0,0.0
null,Composition shuffle,null,0,3,250,0.7871519844329549,0.012224674209467379,0.7871519844329549,0.012224674209467379,0.7871519844329549,0.012224674209467379,1.0,0.0
null,Composition shuffle,null,0,4,250,0.6985026716000221,0.014882734464624063,0.6985026716000221,0.014882734464624063,0.6985026716000221,0.014882734464624063,1.0,0.0
null,Markov baseline,null,0,1,250,0.8264693404665272,0.007977292085920304,0.8264693404665272,0.007977292085920304,0.8264693404665272,0.007977292085920304,1.0,0.0
null,Markov baseline,null,0,2,250,0.6529349257891292,0.015585196494045772,0.6529349257891292,0.015585196494045772,0.6529349257891292,0.015585196494045772,1.0,0.0
null,Markov baseline,null,0,3,250,0.5261296183045947,0.019178068076907074,0.5257473499389121,0.019177418152202218,0.5257473499389121,0.019177418152202218,1.0,0.0
null,Markov baseline,null,0,4,250,0.42366309021996196,0.020316221769916893,0.4228569540598897,0.020162071351345533,0.4228569540598897,0.020162071351345533,1.0,0.0
