stream,head,capacity,seed,prediction_type,true_class,total_frames,pred_attack_frames,pred_attack_fraction,pred_investigation_frames,pred_investigation_fraction,pred_mount_frames,pred_mount_fraction,pred_other_frames,pred_other_fraction
animal_visual_only,attention,512,44,smoothed_frames,mount,35279.0,873.0,0.024745599365061367,2367.0,0.06709373848465093,31982.0,0.9065449700955243,57.0,0.001615692054763457
animal_visual_only,attention,512,44,smoothed_frames,other,217302.0,6942.0,0.031946323549714224,34535.0,0.1589262869186662,2996.0,0.013787263807972315,172829.0,0.7953401257236473
animal_visual_only,attention,896,42,raw_windows,attack,19068.0,17721.0,0.9293580868470737,1091.0,0.05721627858191735,215.0,0.011275435284245856,41.0,0.0021501992867631633
animal_visual_only,attention,896,42,raw_windows,investigation,76719.0,8647.0,0.11271001968221692,59585.0,0.7766654935543998,2271.0,0.029601532866695344,6216.0,0.08102295389668791
animal_visual_only,attention,896,42,raw_windows,mount,35279.0,1287.0,0.03648062586808016,2574.0,0.07296125173616032,30794.0,0.8728705462172964,624.0,0.01768757617846311
animal_visual_only,attention,896,42,raw_windows,other,217302.0,7689.0,0.0353839357207941,26398.0,0.12148070427331548,2032.0,0.009351041407810328,181183.0,0.8337843185980801
animal_visual_only,attention,896,42,smoothed_frames,attack,19068.0,17725.0,0.9295678623872456,1091.0,0.05721627858191735,215.0,0.011275435284245856,37.0,0.0019404237465911476
animal_visual_only,attention,896,42,smoothed_frames,investigation,76719.0,8688.0,0.11324443749266805,59585.0,0.7766654935543998,2271.0,0.029601532866695344,6175.0,0.08048853608623678
animal_visual_only,attention,896,42,smoothed_frames,mount,35279.0,1287.0,0.03648062586808016,2574.0,0.07296125173616032,30794.0,0.8728705462172964,624.0,0.01768757617846311
animal_visual_only,attention,896,42,smoothed_frames,other,217302.0,7708.0,0.03547137163946949,26398.0,0.12148070427331548,2032.0,0.009351041407810328,181164.0,0.8336968826794047
animal_visual_only,attention,896,43,raw_windows,attack,19068.0,16897.0,0.8861443255716384,1856.0,0.0973358506398154,216.0,0.011327879169288861,99.0,0.005191944619257395
animal_visual_only,attention,896,43,raw_windows,investigation,76719.0,6615.0,0.08622375161302936,61808.0,0.805641366545445,1905.0,0.02483087631486333,6391.0,0.08330400552666223
animal_visual_only,attention,896,43,raw_windows,mount,35279.0,1076.0,0.030499730717990874,3362.0,0.09529748575639899,30656.0,0.8689588707162902,185.0,0.005243912809319992
animal_visual_only,attention,896,43,raw_windows,other,217302.0,5876.0,0.02704070832297908,28094.0,0.12928551048770834,1895.0,0.008720582415256188,181437.0,0.8349531987740564
animal_visual_only,attention,896,43,smoothed_frames,attack,19068.0,16901.0,0.8863541011118103,1856.0,0.0973358506398154,216.0,0.011327879169288861,95.0,0.004982169079085379
animal_visual_only,attention,896,43,smoothed_frames,investigation,76719.0,6656.0,0.0867581694234805,61808.0,0.805641366545445,1905.0,0.02483087631486333,6350.0,0.08276958771621111
animal_visual_only,attention,896,43,smoothed_frames,mount,35279.0,1076.0,0.030499730717990874,3362.0,0.09529748575639899,30656.0,0.8689588707162902,185.0,0.005243912809319992
animal_visual_only,attention,896,43,smoothed_frames,other,217302.0,5895.0,0.02712814424165447,28094.0,0.12928551048770834,1895.0,0.008720582415256188,181418.0,0.8348657628553809
animal_visual_only,attention,896,44,raw_windows,attack,19068.0,16342.0,0.8570379693727711,2480.0,0.13006083490664988,161.0,0.008443465491923641,85.0,0.004457730228655339
animal_visual_only,attention,896,44,raw_windows,investigation,76719.0,5439.0,0.07089508465960193,65733.0,0.8568020959605834,1728.0,0.02252375552340359,3819.0,0.04977906385641106
animal_visual_only,attention,896,44,raw_windows,mount,35279.0,732.0,0.020748887440120184,3735.0,0.10587034779897389,30477.0,0.86388503075484,335.0,0.009495734006065931
animal_visual_only,attention,896,44,raw_windows,other,217302.0,5679.0,0.026134135903028963,40932.0,0.18836458016953364,2034.0,0.009360245188723528,168657.0,0.7761410387387139
animal_visual_only,attention,896,44,smoothed_frames,attack,19068.0,16346.0,0.8572477449129432,2480.0,0.13006083490664988,161.0,0.008443465491923641,81.0,0.004247954688483323
animal_visual_only,attention,896,44,smoothed_frames,investigation,76719.0,5480.0,0.07142950247005304,65733.0,0.8568020959605834,1728.0,0.02252375552340359,3778.0,0.04924464604595993
animal_visual_only,attention,896,44,smoothed_frames,mount,35279.0,732.0,0.020748887440120184,3735.0,0.10587034779897389,30477.0,0.86388503075484,335.0,0.009495734006065931
animal_visual_only,attention,896,44,smoothed_frames,other,217302.0,5698.0,0.026221571821704356,40932.0,0.18836458016953364,2034.0,0.009360245188723528,168638.0,0.7760536028200384
animal_visual_only,lstm,256,42,raw_windows,attack,19068.0,13108.0,0.6874344451436962,5544.0,0.2907488986784141,224.0,0.011747430249632892,192.0,0.010069225928256766
animal_visual_only,lstm,256,42,raw_windows,investigation,76719.0,3720.0,0.04848864036288273,68545.0,0.8934553370090851,1018.0,0.013269203196079198,3436.0,0.04478681943195297
animal_visual_only,lstm,256,42,raw_windows,mount,35279.0,954.0,0.027041582811304175,6848.0,0.19410981036877462,27003.0,0.7654128518382041,474.0,0.013435754981717169
animal_visual_only,lstm,256,42,raw_windows,other,217302.0,3146.0,0.01447754737646225,52023.0,0.23940414722367948,1243.0,0.005720149837553267,160890.0,0.740398155562305
animal_visual_only,lstm,256,42,smoothed_frames,attack,19068.0,13112.0,0.6876442206838682,5544.0,0.2907488986784141,224.0,0.011747430249632892,188.0,0.009859450388084749
animal_visual_only,lstm,256,42,smoothed_frames,investigation,76719.0,3761.0,0.049023058173333856,68545.0,0.8934553370090851,1018.0,0.013269203196079198,3395.0,0.04425240162150185
animal_visual_only,lstm,256,42,smoothed_frames,mount,35279.0,954.0,0.027041582811304175,6848.0,0.19410981036877462,27003.0,0.7654128518382041,474.0,0.013435754981717169
