source,track,head,capacity,seed,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,LSTM-256,lstm,256,44,test_1,Mouse060_20160526_18-16-27,109,109,1.0,4,79,106,106,0.7452830188679245,0.7452830188679245,0.7452830188679244
model,LSTM-512,lstm,512,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,1,101,104,109,0.9711538461538461,0.926605504587156,0.9483568075117371
model,LSTM-512,lstm,512,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,2,97,103,108,0.941747572815534,0.8981481481481481,0.9194312796208531
model,LSTM-512,lstm,512,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,3,85,102,107,0.8333333333333334,0.794392523364486,0.8133971291866029
model,LSTM-512,lstm,512,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,4,79,101,106,0.7821782178217822,0.7452830188679245,0.7632850241545893
model,LSTM-512,lstm,512,43,test_1,Mouse060_20160526_18-16-27,109,109,1.0,1,105,109,109,0.963302752293578,0.963302752293578,0.963302752293578
model,LSTM-512,lstm,512,43,test_1,Mouse060_20160526_18-16-27,109,109,1.0,2,100,108,108,0.9259259259259259,0.9259259259259259,0.9259259259259259
model,LSTM-512,lstm,512,43,test_1,Mouse060_20160526_18-16-27,109,109,1.0,3,92,107,107,0.8598130841121495,0.8598130841121495,0.8598130841121495
model,LSTM-512,lstm,512,43,test_1,Mouse060_20160526_18-16-27,109,109,1.0,4,87,106,106,0.8207547169811321,0.8207547169811321,0.8207547169811321
model,LSTM-512,lstm,512,44,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,1,107,108,109,0.9907407407407407,0.981651376146789,0.9861751152073732
model,LSTM-512,lstm,512,44,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,2,106,107,108,0.9906542056074766,0.9814814814814815,0.986046511627907
model,LSTM-512,lstm,512,44,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,3,94,106,107,0.8867924528301887,0.8785046728971962,0.8826291079812206
