stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
visual_only,lstm,896,smoothed_frames,3,28.0,0.8390986967053795,0.6745861200251818,0.6530641486972185,0.595141843360259,0.4183872939982442,0.0105586380702205,0.0033291808294473,0.0006411354837723,0.0049971528466968,0.0115860404491532
full,attention,256,smoothed_frames,3,28.0,0.8852262194427082,0.7518452477484304,0.7194812116694315,0.6795077242237585,0.5374371831280128,0.0089931455013233,0.0056523053913263,0.0148456880829645,0.0111156642215273,0.0098915211732658
full,attention,512,smoothed_frames,3,28.0,0.878450214294196,0.738155189449417,0.7082654329208967,0.6640247360368163,0.5157525257512617,0.0008056703158315,0.0050111239370371,0.0072233247838302,0.0097877368798117,0.011244898608547
full,attention,896,smoothed_frames,3,28.0,0.8771610499186512,0.7431439288973868,0.7153229627640774,0.6705013869770339,0.5197317565264336,0.0063887547584743,0.003097324053196,0.0043546883208179,0.0055915834191695,0.013417296282575
no_group_visual,attention,256,smoothed_frames,3,28.0,0.8767840832994797,0.7381317117181309,0.7069446179150267,0.6645826870132668,0.5140481008904918,0.0110457644817836,0.0071512688898592,0.0055604999468844,0.0072745303995186,0.0115863913724204
no_group_visual,attention,512,smoothed_frames,3,28.0,0.877307694805178,0.7391695045066622,0.7095487653300893,0.6662885935650542,0.5153864084556191,0.0034645937188676,0.0050114690417212,0.0080372919682421,0.0095937614512329,0.0037463636772315
no_group_visual,attention,896,smoothed_frames,3,28.0,0.877454582564622,0.7333262081618935,0.7011744733659921,0.657022298864308,0.5025135344863414,0.0028681110450194,0.003898923583853,0.0070491465295516,0.0071277068998541,0.0067129357163357
pose_relations_only,attention,256,smoothed_frames,3,28.0,0.8745494081431828,0.7237688520116373,0.7078684947385895,0.6626778454322058,0.5065511307566662,0.0029691731555587,0.0068358850297904,0.0064233931315794,0.0057350839022967,0.0013957642193327
pose_relations_only,attention,512,smoothed_frames,3,28.0,0.8766942739102946,0.7274147951401523,0.7024268666829633,0.6567353529751215,0.5042188420679782,0.0041383566003093,0.0013707662334094,0.0063741548422699,0.0067532228139681,0.0096193747208866
pose_relations_only,attention,896,smoothed_frames,3,28.0,0.8774695215426737,0.7279640520343964,0.7068222751002279,0.6618180663228063,0.5073505145214591,0.0046355612782177,0.0040695757636908,0.0058310361425236,0.0021220987284509,0.0122798663510637
no_relations,attention,256,smoothed_frames,3,28.0,0.8564125396725096,0.695849060390794,0.664600708483534,0.6104474596184989,0.4428932426631823,0.0032778249437687,0.0047926491969362,0.005728161733723,0.0057088871677193,0.0104392372548632
no_relations,attention,512,smoothed_frames,3,28.0,0.8424437331834297,0.6887686879325502,0.6711669686665661,0.6058061954797197,0.4182912524138607,0.0157237463217962,0.0118861892218739,0.0075705103844528,0.0070731518553688,0.0197048391959363
no_relations,attention,896,smoothed_frames,3,28.0,0.850470973192143,0.6972828824796533,0.6676764919740897,0.6136070866847679,0.4367520563578181,0.0137425759017875,0.012283987094044,0.0154018025079309,0.0013354502450369,0.0223811670753122
animal_visual_only,attention,256,smoothed_frames,3,28.0,0.8419374956022136,0.680001956359248,0.6433947169864536,0.5803997946246924,0.4141150101815623,0.0040527434359557,0.0034049113291221,0.0091362267493359,0.0039795452586941,0.0020851482489147
animal_visual_only,attention,512,smoothed_frames,3,28.0,0.8319745950729952,0.6757552784353607,0.637202887223702,0.5671347694444172,0.4007155221682705,0.0071870654210347,0.0090851478747178,0.0194890723008672,0.0231912703499259,0.0097118143922906
animal_visual_only,attention,896,smoothed_frames,3,28.0,0.8318840398943638,0.6749867358243878,0.6421130620230261,0.5738698655547195,0.4044140694552842,0.0137772357344632,0.0083260301686424,0.0165166989916908,0.0118131235694668,0.0111142922291371
visual_only,attention,256,smoothed_frames,3,28.0,0.8491231289351403,0.6866575347431693,0.6608943920064225,0.5995772390294348,0.4267743968811388,0.0024287367276178,0.0028416012694395,0.0059132270229377,0.0072532053871166,0.0082407504670694
visual_only,attention,512,smoothed_frames,3,28.0,0.8448467087838019,0.6804518783937294,0.6572627629988939,0.5953187804071476,0.4144421113864732,0.0139952807115281,0.0069833785338674,0.0128090597077422,0.0129753277418184,0.0235272906721527
visual_only,attention,896,smoothed_frames,3,28.0,0.8470478378864055,0.6867240836390641,0.6584969213603872,0.6000510108107545,0.4249704096792511,0.005174794585575,0.0042987256820798,0.0108883847896364,0.0052686406125659,0.0052556347896105
