stream,head,capacity,class,threshold,n_seeds,bout_precision_mean,bout_precision_sd,bout_recall_mean,bout_recall_sd,bout_f1_mean,bout_f1_sd,tp_mean,fp_mean,fn_mean
full,lstm,256,attack,0.5,3,0.4705691956888938,0.06702583253913344,0.3707865168539326,0.032394838749075276,0.4142264867086893,0.043816910767281496,132.0,150.33333333333334,224.0
full,lstm,256,investigation,0.1,3,0.8030854487829572,0.01218444726497917,0.49534196773460576,0.021222984646826853,0.6124331537207867,0.01324459888371506,726.6666666666666,178.66666666666666,740.3333333333334
full,lstm,256,investigation,0.25,3,0.7277790020248682,0.016271007686995388,0.44876164508066346,0.01575709015913276,0.5549038713755509,0.007788523812459266,658.3333333333334,247.0,808.6666666666666
full,lstm,256,investigation,0.5,3,0.531898307533492,0.01586943802953682,0.3278800272665303,0.00886162235855488,0.40547687620065004,0.00219284807465226,481.0,424.3333333333333,986.0
full,lstm,256,mount,0.1,3,0.8306056626811343,0.027370821223332564,0.8205128205128206,0.014687742612037973,0.8252384853403529,0.01057637264387609,170.66666666666666,35.0,37.333333333333336
full,lstm,256,mount,0.25,3,0.8096942889395718,0.03159036657485865,0.7996794871794872,0.007343871306019033,0.804372311333262,0.012869737259989198,166.33333333333334,39.333333333333336,41.666666666666664
full,lstm,256,mount,0.5,3,0.757737231322137,0.028336167819180885,0.7483974358974358,0.007343871306018948,0.7527737683934627,0.010792251935410007,155.66666666666666,50.0,52.333333333333336
full,lstm,512,attack,0.1,3,0.8561762582665545,0.044386230573107435,0.6338951310861424,0.005847376402994771,0.7281976302300035,0.018897884553277577,225.66666666666666,38.333333333333336,130.33333333333334
full,lstm,512,attack,0.25,3,0.7931136132886544,0.04706288694975539,0.5870786516853933,0.009730622514431863,0.6744784744138315,0.022776979829208434,209.0,55.0,147.0
full,lstm,512,attack,0.5,3,0.4995357802189502,0.07289849751575042,0.3689138576779026,0.038753187428042846,0.4242538640790697,0.051823169984512106,131.33333333333334,132.66666666666666,224.66666666666666
full,lstm,512,investigation,0.1,3,0.792383389679293,0.005828764332580399,0.510338559418314,0.021816774307803048,0.6207049283708732,0.017909710531763896,748.6666666666666,196.0,718.3333333333334
full,lstm,512,investigation,0.25,3,0.7091101113688412,0.009420475121185332,0.45648716200863443,0.010345423710822275,0.5553116584814831,0.0049587992454608225,669.6666666666666,275.0,797.3333333333334
full,lstm,512,investigation,0.5,3,0.48679580274589535,0.023632824618328364,0.31311065666893884,0.004165031306481124,0.38102084912982076,0.010303526927745742,459.3333333333333,485.3333333333333,1007.6666666666666
