track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
Attention-256,attention,256,43,raw_windows,0.25,investigation,0.5-1,379,126,0.3324538258575198
Attention-256,attention,256,43,raw_windows,0.25,investigation,1-2,238,97,0.40756302521008403
Attention-256,attention,256,43,raw_windows,0.25,investigation,2-4,165,71,0.4303030303030303
Attention-256,attention,256,43,raw_windows,0.25,investigation,4-8,111,64,0.5765765765765766
Attention-256,attention,256,43,raw_windows,0.25,investigation,>=8,53,39,0.7358490566037735
Attention-256,attention,256,43,raw_windows,0.25,mount,<0.25,5,1,0.2
Attention-256,attention,256,43,raw_windows,0.25,mount,0.25-0.5,13,3,0.23076923076923078
Attention-256,attention,256,43,raw_windows,0.25,mount,0.5-1,25,2,0.08
Attention-256,attention,256,43,raw_windows,0.25,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,43,raw_windows,0.25,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,43,raw_windows,0.25,mount,4-8,30,6,0.2
Attention-256,attention,256,43,raw_windows,0.25,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,43,raw_windows,0.5,attack,<0.25,26,3,0.11538461538461539
Attention-256,attention,256,43,raw_windows,0.5,attack,0.25-0.5,46,5,0.10869565217391304
Attention-256,attention,256,43,raw_windows,0.5,attack,0.5-1,77,12,0.15584415584415584
Attention-256,attention,256,43,raw_windows,0.5,attack,1-2,91,14,0.15384615384615385
Attention-256,attention,256,43,raw_windows,0.5,attack,2-4,78,12,0.15384615384615385
Attention-256,attention,256,43,raw_windows,0.5,attack,4-8,36,5,0.1388888888888889
Attention-256,attention,256,43,raw_windows,0.5,attack,>=8,2,0,0.0
Attention-256,attention,256,43,raw_windows,0.5,investigation,<0.25,220,25,0.11363636363636363
Attention-256,attention,256,43,raw_windows,0.5,investigation,0.25-0.5,301,58,0.19269102990033224
Attention-256,attention,256,43,raw_windows,0.5,investigation,0.5-1,379,94,0.24802110817941952
Attention-256,attention,256,43,raw_windows,0.5,investigation,1-2,238,74,0.31092436974789917
Attention-256,attention,256,43,raw_windows,0.5,investigation,2-4,165,56,0.3393939393939394
Attention-256,attention,256,43,raw_windows,0.5,investigation,4-8,111,58,0.5225225225225225
Attention-256,attention,256,43,raw_windows,0.5,investigation,>=8,53,33,0.6226415094339622
Attention-256,attention,256,43,raw_windows,0.5,mount,<0.25,5,1,0.2
