model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,22,0.7981651376146789,3,88,98,107,0.8979591836734694,0.822429906542056,0.8585365853658536
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,22,0.7981651376146789,4,82,97,106,0.845360824742268,0.7735849056603774,0.8078817733990147
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,20,0.8165137614678899,1,104,105,109,0.9904761904761905,0.9541284403669725,0.9719626168224299
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,20,0.8165137614678899,2,102,104,108,0.9807692307692307,0.9444444444444444,0.9622641509433962
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,20,0.8165137614678899,3,91,103,107,0.883495145631068,0.8504672897196262,0.8666666666666667
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,20,0.8165137614678899,4,85,102,106,0.8333333333333334,0.8018867924528302,0.8173076923076923
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,15,0.7619047619047619,1,53,55,63,0.9636363636363636,0.8412698412698413,0.8983050847457628
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,15,0.7619047619047619,2,50,54,62,0.9259259259259259,0.8064516129032258,0.8620689655172414
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,15,0.7619047619047619,3,48,53,61,0.9056603773584906,0.7868852459016393,0.8421052631578947
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,15,0.7619047619047619,4,46,52,60,0.8846153846153846,0.7666666666666667,0.8214285714285715
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,11,0.828125,1,61,64,63,0.953125,0.9682539682539683,0.9606299212598425
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,11,0.828125,2,57,63,62,0.9047619047619048,0.9193548387096774,0.912
