model_name,stream,head,capacity,seed,mean_bout_macro_f1_iou25_present_behaviors_raw_windows,mean_bout_macro_f1_iou25_present_behaviors_smoothed_frames,mean_frame_macro_f1_present_behaviors_raw_windows,mean_frame_macro_f1_present_behaviors_smoothed_frames,pred_bouts_total_raw_windows,pred_bouts_total_smoothed_frames,delta_mean_frame_macro_f1_present_behaviors_smoothed_minus_raw,delta_mean_bout_macro_f1_iou25_present_behaviors_smoothed_minus_raw,delta_pred_bouts_total_smoothed_minus_raw
yolo_sppf_animal_visual_only_lstm896_seed42,animal_visual_only,lstm,896,42,0.559996305815708,0.5598033453649339,0.6510798287218156,0.6510421074754322,1688.0,1692.0,-3.772124638334873e-05,-0.0001929604507741045,4.0
yolo_sppf_animal_visual_only_lstm896_seed43,animal_visual_only,lstm,896,43,0.5194818854870341,0.5192805229849591,0.6051846223675813,0.6051448632703531,1666.0,1670.0,-3.975909722819804e-05,-0.00020136250207503092,4.0
yolo_sppf_animal_visual_only_lstm896_seed44,animal_visual_only,lstm,896,44,0.5568502457797531,0.5566868302183546,0.6513748527816651,0.651334412536621,1741.0,1745.0,-4.0440245044015555e-05,-0.00016341556139842783,4.0
yolo_sppf_full_attention256_seed42,full,attention,256,42,0.6908838341149774,0.6905859231369221,0.7575490516310761,0.7574996495656833,1358.0,1362.0,-4.940206539283398e-05,-0.00029791097805531574,4.0
yolo_sppf_full_attention256_seed43,full,attention,256,43,0.6686183406753141,0.6683549697442859,0.7518911597558325,0.7518410525613002,1333.0,1337.0,-5.0107194532356125e-05,-0.0002633709310282395,4.0
yolo_sppf_full_attention256_seed44,full,attention,256,44,0.6798385197505444,0.6795822797900676,0.7462434324032391,0.7461950411183075,1415.0,1419.0,-4.839128493161482e-05,-0.00025623996047685615,4.0
yolo_sppf_full_attention512_seed42,full,attention,512,42,0.6531571083428239,0.6528970043012073,0.7327475499035367,0.7327005673669351,1394.0,1397.0,-4.698253660162521e-05,-0.0002601040416165823,3.0
yolo_sppf_full_attention512_seed43,full,attention,512,43,0.6681827982981091,0.6678768825807637,0.7426032872849632,0.7425548301726651,1408.0,1412.0,-4.845711229806149e-05,-0.00030591571734539524,4.0
yolo_sppf_full_attention512_seed44,full,attention,512,44,0.6716020797162308,0.6713003212284779,0.7392571738377152,0.739210170808651,1379.0,1383.0,-4.70030290641299e-05,-0.00030175848775282343,4.0
yolo_sppf_full_attention896_seed42,full,attention,896,42,0.6770704396690921,0.6767602951748781,0.7434205977872919,0.7433724478005181,1367.0,1371.0,-4.8149986773715625e-05,-0.00031014449421395973,4.0
yolo_sppf_full_attention896_seed43,full,attention,896,43,0.6690626712842389,0.6687450156366339,0.7461696644354872,0.7461206645321468,1420.0,1424.0,-4.89999033403965e-05,-0.0003176556476049974,4.0
yolo_sppf_full_attention896_seed44,full,attention,896,44,0.66624910036984,0.6659988501195897,0.7399863055806114,0.7399386743594951,1417.0,1420.0,-4.763122111628437e-05,-0.00025025025025027237,3.0
yolo_sppf_full_lstm256_seed42,full,lstm,256,42,0.6708618975731523,0.6706020749192384,0.7519556930617116,0.7519064630128556,1371.0,1375.0,-4.923004885604154e-05,-0.00025982265391388815,4.0
yolo_sppf_full_lstm256_seed43,full,lstm,256,43,0.6748515095807152,0.67456869530558,0.7402877860377253,0.7402378325308347,1355.0,1359.0,-4.995350689052103e-05,-0.0002828142751352125,4.0
yolo_sppf_full_lstm256_seed44,full,lstm,256,44,0.6717106728667603,0.6715028119446137,0.7478599522372712,0.7478108053794527,1443.0,1446.0,-4.9146857818538336e-05,-0.00020786092214664098,3.0
yolo_sppf_full_lstm512_seed42,full,lstm,512,42,0.6640463016199989,0.6638318014054986,0.7312009577081566,0.7311520906740132,1416.0,1419.0,-4.886703414341831e-05,-0.00021450021450031276,3.0
yolo_sppf_full_lstm512_seed43,full,lstm,512,43,0.6470442991342671,0.6467486930869702,0.7273585606984827,0.7273078754636982,1360.0,1364.0,-5.0685234784464406e-05,-0.0002956060472968369,4.0
yolo_sppf_full_lstm512_seed44,full,lstm,512,44,0.6680340281812686,0.6678195279667685,0.7331211780106868,0.7330721999612365,1423.0,1426.0,-4.8978049450254524e-05,-0.0002145002145000907,3.0
yolo_sppf_full_lstm896_seed42,full,lstm,896,42,0.6480346772446511,0.6477945812062357,0.7288575595356032,0.7288091964030852,1397.0,1400.0,-4.836313251799229e-05,-0.00024009603841546046,3.0
yolo_sppf_full_lstm896_seed43,full,lstm,896,43,0.6464259301934814,0.6461935549611061,0.726872374142972,0.7268236913796047,1415.0,1418.0,-4.86827633673359e-05,-0.00023237523237529256,3.0
yolo_sppf_full_lstm896_seed44,full,lstm,896,44,0.636108602811643,0.6359053920821164,0.7204991601266999,0.7204502830993679,1438.0,1441.0,-4.8877027332028256e-05,-0.00020321072952667052,3.0
yolo_sppf_no_group_visual_attention256_seed42,no_group_visual,attention,256,42,0.6566231778454813,0.656377524028399,0.7342135388726162,0.7341658954715246,1397.0,1400.0,-4.7643401091646e-05,-0.00024565381708230305,3.0
yolo_sppf_no_group_visual_attention256_seed43,no_group_visual,attention,256,43,0.670557031767017,0.6702425956477417,0.7464365668070218,0.7463871689929898,1364.0,1368.0,-4.939781403190402e-05,-0.00031443611927528536,4.0
yolo_sppf_no_group_visual_attention256_seed44,no_group_visual,attention,256,44,0.6673920858810842,0.6671279413636597,0.7338896161200987,0.7338420706898782,1456.0,1460.0,-4.754543022056357e-05,-0.00026414451742451384,4.0
yolo_sppf_no_group_visual_attention512_seed42,no_group_visual,attention,512,42,0.6555659746146739,0.6553203207975916,0.7334642175572402,0.7334179901310264,1390.0,1393.0,-4.6227426213851786e-05,-0.00024565381708230305,3.0
yolo_sppf_no_group_visual_attention512_seed43,no_group_visual,attention,512,43,0.6707465534439129,0.6704262518921249,0.7426457686529863,0.7425974244841281,1405.0,1409.0,-4.8344168858127645e-05,-0.0003203015517879715,4.0
yolo_sppf_no_group_visual_attention512_seed44,no_group_visual,attention,512,44,0.673437691826468,0.6731192080054461,0.7415410627497823,0.741493098904832,1395.0,1399.0,-4.796384495031614e-05,-0.00031848382102184214,4.0
yolo_sppf_no_group_visual_attention896_seed42,no_group_visual,attention,896,42,0.650838259207875,0.6505781551662583,0.7299636775327032,0.729917104726573,1373.0,1376.0,-4.657280613018511e-05,-0.0002601040416166933,3.0
yolo_sppf_no_group_visual_attention896_seed43,no_group_visual,attention,896,43,0.6649930740968487,0.6646782138149089,0.7376261646082599,0.7375773488605615,1376.0,1380.0,-4.881574769843855e-05,-0.00031486028193983273,4.0
yolo_sppf_no_group_visual_attention896_seed44,no_group_visual,attention,896,44,0.6561219058163227,0.6558105276117567,0.7325321008199278,0.7324841708985462,1397.0,1401.0,-4.792992138158425e-05,-0.00031137820456594856,4.0
yolo_sppf_no_group_visual_lstm256_seed42,no_group_visual,lstm,256,42,0.6546064621269189,0.6544032513973923,0.7307621128019948,0.7307150589747976,1419.0,1422.0,-4.705382719716322e-05,-0.0002032107295265595,3.0
yolo_sppf_no_group_visual_lstm256_seed43,no_group_visual,lstm,256,43,0.6676620757208962,0.6674002157324107,0.7420058922825062,0.741956280084537,1385.0,1389.0,-4.961219796928429e-05,-0.0002618599884854911,4.0
yolo_sppf_no_group_visual_lstm256_seed44,no_group_visual,lstm,256,44,0.6551188891918187,0.6548470037879108,0.7287843204192962,0.7287354003116879,1424.0,1428.0,-4.8920107608263486e-05,-0.00027188540390787885,4.0
yolo_sppf_no_group_visual_lstm512_seed42,no_group_visual,lstm,512,42,0.6458793030323353,0.6456525456627208,0.7286440605027346,0.7285951018471332,1409.0,1412.0,-4.895865560139434e-05,-0.00022675736961452753,3.0
yolo_sppf_no_group_visual_lstm512_seed43,no_group_visual,lstm,512,43,0.6349648835901194,0.6346815935571882,0.7235834672822066,0.72353388177914,1320.0,1324.0,-4.958550306655152e-05,-0.0002832900329311494,4.0
yolo_sppf_no_group_visual_lstm512_seed44,no_group_visual,lstm,512,44,0.6438394255028238,0.6436193374676097,0.7305474896152522,0.7304990998592967,1420.0,1423.0,-4.838975595544692e-05,-0.00022008803521411657,3.0
yolo_sppf_no_group_visual_lstm896_seed42,no_group_visual,lstm,896,42,0.6410055449668857,0.6407787875972711,0.7245835416808578,0.7245358152611744,1398.0,1401.0,-4.772641968342484e-05,-0.00022675736961452753,3.0
yolo_sppf_no_group_visual_lstm896_seed43,no_group_visual,lstm,896,43,0.6426953207163263,0.6424808205018261,0.7311296065336096,0.7310799940899907,1354.0,1357.0,-4.961244361889605e-05,-0.00021450021450020174,3.0
