prediction_type,track,head,capacity,seed,class,pred_bouts,pred_median_duration_frames,fraction_pred_bouts_with_any_gt,fraction_pred_bouts_merging_gt,mean_overlapping_gt_bouts,median_overlapping_gt_bouts,gt_bouts,gt_median_duration_frames,bout_count_ratio_pred_gt,median_duration_ratio_pred_gt
smoothed_frames,LSTM-512,lstm,512,43,attack,254,64.0,0.9488188976377953,0.2283464566929134,1.2440944881889764,1.0,356,39.0,0.7134831460674157,1.641025641025641
smoothed_frames,LSTM-512,lstm,512,43,investigation,912,48.0,0.8355263157894737,0.13815789473684212,1.025219298245614,1.0,1467,21.0,0.621676891615542,2.2857142857142856
smoothed_frames,LSTM-512,lstm,512,43,mount,198,80.0,0.8838383838383839,0.030303030303030304,0.9141414141414141,1.0,208,74.5,0.9519230769230769,1.0738255033557047
smoothed_frames,LSTM-512,lstm,512,44,attack,260,64.0,0.9153846153846154,0.25384615384615383,1.2923076923076924,1.0,356,39.0,0.7303370786516854,1.641025641025641
smoothed_frames,LSTM-512,lstm,512,44,investigation,979,48.0,0.8345250255362615,0.17466802860061287,1.083758937691522,1.0,1467,21.0,0.667348329925017,2.2857142857142856
smoothed_frames,LSTM-512,lstm,512,44,mount,187,80.0,0.8983957219251337,0.03208556149732621,0.93048128342246,1.0,208,74.5,0.8990384615384616,1.0738255033557047
smoothed_frames,LSTM-896,lstm,896,42,attack,285,64.0,0.8421052631578947,0.256140350877193,1.2210526315789474,1.0,356,39.0,0.800561797752809,1.641025641025641
smoothed_frames,LSTM-896,lstm,896,42,investigation,917,48.0,0.8287895310796074,0.14394765539803708,1.0327153762268266,1.0,1467,21.0,0.6250852079072938,2.2857142857142856
smoothed_frames,LSTM-896,lstm,896,42,mount,198,80.0,0.9343434343434344,0.030303030303030304,0.9646464646464646,1.0,208,74.5,0.9519230769230769,1.0738255033557047
smoothed_frames,LSTM-896,lstm,896,43,attack,248,80.0,0.9395161290322581,0.2661290322580645,1.342741935483871,1.0,356,39.0,0.6966292134831461,2.051282051282051
smoothed_frames,LSTM-896,lstm,896,43,investigation,966,48.0,0.8229813664596274,0.15424430641821946,1.046583850931677,1.0,1467,21.0,0.6584867075664622,2.2857142857142856
smoothed_frames,LSTM-896,lstm,896,43,mount,204,80.0,0.9166666666666666,0.00980392156862745,0.9264705882352942,1.0,208,74.5,0.9807692307692307,1.0738255033557047
smoothed_frames,LSTM-896,lstm,896,44,attack,264,64.0,0.8939393939393939,0.25,1.2803030303030303,1.0,356,39.0,0.7415730337078652,1.641025641025641
smoothed_frames,LSTM-896,lstm,896,44,investigation,981,48.0,0.81855249745158,0.1712538226299694,1.0744138634046891,1.0,1467,21.0,0.6687116564417178,2.2857142857142856
smoothed_frames,LSTM-896,lstm,896,44,mount,196,80.0,0.9540816326530612,0.015306122448979591,0.9693877551020408,1.0,208,74.5,0.9423076923076923,1.0738255033557047
