stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
full,attention,256,42,attack,0.25,205.0,68.0,151.0,0.7509157509157509,0.5758426966292135,0.6518282988871225
full,attention,256,42,attack,0.5,125.0,148.0,231.0,0.45787545787545786,0.351123595505618,0.39745627980922105
full,attention,256,42,investigation,0.1,727.0,157.0,740.0,0.8223981900452488,0.49556918882072254,0.6184602296894938
full,attention,256,42,investigation,0.25,663.0,221.0,804.0,0.75,0.45194274028629855,0.5640153126329222
full,attention,256,42,investigation,0.5,485.0,399.0,982.0,0.5486425339366516,0.33060668029993184,0.4125903870693322
full,attention,256,42,mount,0.1,176.0,29.0,32.0,0.8585365853658536,0.8461538461538461,0.8523002421307506
full,attention,256,42,mount,0.25,172.0,33.0,36.0,0.8390243902439024,0.8269230769230769,0.8329297820823244
full,attention,256,42,mount,0.5,159.0,46.0,49.0,0.775609756097561,0.7644230769230769,0.7699757869249394
full,attention,256,43,attack,0.1,228.0,38.0,128.0,0.8571428571428571,0.6404494382022472,0.7331189710610932
full,attention,256,43,attack,0.25,211.0,55.0,145.0,0.793233082706767,0.5926966292134831,0.6784565916398714
full,attention,256,43,attack,0.5,132.0,134.0,224.0,0.49624060150375937,0.3707865168539326,0.42443729903536975
full,attention,256,43,investigation,0.1,726.0,159.0,741.0,0.8203389830508474,0.4948875255623722,0.6173469387755102
full,attention,256,43,investigation,0.25,669.0,216.0,798.0,0.7559322033898305,0.4560327198364008,0.5688775510204082
full,attention,256,43,investigation,0.5,487.0,398.0,980.0,0.5502824858757062,0.3319700068166326,0.4141156462585034
full,attention,256,43,mount,0.1,163.0,23.0,45.0,0.8763440860215054,0.7836538461538461,0.8274111675126904
full,attention,256,43,mount,0.25,161.0,25.0,47.0,0.8655913978494624,0.7740384615384616,0.817258883248731
full,attention,256,43,mount,0.5,149.0,37.0,59.0,0.8010752688172043,0.7163461538461539,0.7563451776649746
full,attention,256,44,attack,0.1,221.0,47.0,135.0,0.8246268656716418,0.6207865168539326,0.7083333333333333
full,attention,256,44,attack,0.25,194.0,74.0,162.0,0.7238805970149254,0.5449438202247191,0.6217948717948717
full,attention,256,44,attack,0.5,123.0,145.0,233.0,0.458955223880597,0.3455056179775281,0.3942307692307692
full,attention,256,44,investigation,0.1,751.0,193.0,716.0,0.7955508474576272,0.5119291070211316,0.6229780174201577
full,attention,256,44,investigation,0.25,672.0,272.0,795.0,0.711864406779661,0.45807770961145194,0.5574450435503939
full,attention,256,44,investigation,0.5,460.0,484.0,1007.0,0.4872881355932203,0.31356509884117245,0.3815844048112816
full,attention,256,44,mount,0.1,172.0,35.0,36.0,0.8309178743961353,0.8269230769230769,0.8289156626506025
