split,video_id,prediction_type,predictions_csv,annot_path,n_frames,fps,annot_fps,accuracy,frame_macro_f1_present_behaviors,bout_macro_f1_iou10_present_behaviors,bout_macro_f1_iou25_present_behaviors,bout_macro_f1_iou50_present_behaviors,gt_bouts_total,pred_bouts_total,stream,head,capacity,seed,model_name,eval_dir,train_dir
test_1,Mouse069_20160709_16-02-03,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse069_20160709_16-02-03\Mouse069_20160709_16-02-03.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse069_20160709_16-02-03\Mouse069_20160709_16-02-03_anno.annot,18496,30.0,30.0,0.8481293252595156,0.4649664999444056,0.3961708394698085,0.3596792668957617,0.2094583537882507,66,74,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse070_20160709_16-58-36,raw_windows,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse070_20160709_16-58-36\Mouse070_20160709_16-58-36.behavior.csv,<MARS_DATA_ROOT>\test_1\Mouse070_20160709_16-58-36\Mouse070_20160709_16-58-36_anno.annot,20192,30.0,30.0,0.7814480982567353,0.5346171897416107,0.4732831191847585,0.3700487372618519,0.187815684536996,193,115,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse070_20160709_16-58-36,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse070_20160709_16-58-36\Mouse070_20160709_16-58-36.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse070_20160709_16-58-36\Mouse070_20160709_16-58-36_anno.annot,20192,30.0,30.0,0.7814480982567353,0.5346171897416107,0.4732831191847585,0.3700487372618519,0.187815684536996,193,115,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse074_20160709_19-15-23,raw_windows,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse074_20160709_19-15-23\Mouse074_20160709_19-15-23.behavior.csv,<MARS_DATA_ROOT>\test_1\Mouse074_20160709_19-15-23\Mouse074_20160709_19-15-23_anno.annot,19376,30.0,30.0,0.8536333608587944,0.5637879087825887,0.5194295163290615,0.4611409673418768,0.2226126498553121,119,83,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse074_20160709_19-15-23,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse074_20160709_19-15-23\Mouse074_20160709_19-15-23.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse074_20160709_19-15-23\Mouse074_20160709_19-15-23_anno.annot,19376,30.0,30.0,0.8536333608587944,0.5637879087825887,0.5194295163290615,0.4611409673418768,0.2226126498553121,119,83,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse077_20160709_18-29-34,raw_windows,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse077_20160709_18-29-34\Mouse077_20160709_18-29-34.behavior.csv,<MARS_DATA_ROOT>\test_1\Mouse077_20160709_18-29-34\Mouse077_20160709_18-29-34_anno.annot,19952,30.0,30.0,0.704340417000802,0.4829175646171313,0.4687857961053837,0.328130966017564,0.1550687285223367,280,132,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse077_20160709_18-29-34,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse077_20160709_18-29-34\Mouse077_20160709_18-29-34.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse077_20160709_18-29-34\Mouse077_20160709_18-29-34_anno.annot,19952,30.0,30.0,0.7044907778668805,0.4828065826061986,0.4739404352806414,0.328130966017564,0.1550687285223367,280,132,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse162_20161017_19-58-28,raw_windows,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse162_20161017_19-58-28\Mouse162_20161017_19-58-28.behavior.csv,<MARS_DATA_ROOT>\test_1\Mouse162_20161017_19-58-28\Mouse162_20161017_19-58-28_TK.annot,17920,30.0,30.0,0.8017299107142857,0.6532888648304822,0.7000000000000001,0.6083333333333333,0.3666666666666667,80,71,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse162_20161017_19-58-28,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse162_20161017_19-58-28\Mouse162_20161017_19-58-28.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse162_20161017_19-58-28\Mouse162_20161017_19-58-28_TK.annot,17920,30.0,30.0,0.8017299107142857,0.6532888648304822,0.7000000000000001,0.6083333333333333,0.3666666666666667,80,71,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
test_1,Mouse163_20161018_18-22-45,raw_windows,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43\test_1\Mouse163_20161018_18-22-45\Mouse163_20161018_18-22-45.behavior.csv,<MARS_DATA_ROOT>\test_1\Mouse163_20161018_18-22-45\Mouse163_20161018_18-22-45_TK.annot,6640,30.0,30.0,0.848644578313253,0.8115845854191626,0.7413793103448276,0.7068965517241379,0.5862068965517242,52,37,animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention896_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43
