split,video_id,prediction_type,class,gt_frames,pred_frames,frame_precision,frame_recall,frame_f1,bout_tp_iou10,bout_fp_iou10,bout_fn_iou10,bout_precision_iou10,bout_recall_iou10,bout_f1_iou10,bout_tp_iou25,bout_fp_iou25,bout_fn_iou25,bout_precision_iou25,bout_recall_iou25,bout_f1_iou25,bout_tp_iou50,bout_fp_iou50,bout_fn_iou50,bout_precision_iou50,bout_recall_iou50,bout_f1_iou50,cm_attack,cm_investigation,cm_mount,cm_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
test_1,Mouse063_20160526_19-14-46,raw_windows,other,13408,11536,0.9754680998613038,0.8392750596658711,0.9022610647851188,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,161,1896,98,11253,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,smoothed_frames,attack,0,736,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,smoothed_frames,investigation,3728,5408,0.5793269230769231,0.8403969957081545,0.6858581436077058,55,21,46,0.7236842105263158,0.5445544554455446,0.6214689265536724,50,26,51,0.6578947368421053,0.495049504950495,0.5649717514124294,28,48,73,0.3684210526315789,0.2772277227722772,0.3163841807909604,125,3133,188,282,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,smoothed_frames,mount,2160,1616,0.823019801980198,0.6157407407407407,0.7044491525423728,22,7,21,0.7586206896551724,0.5116279069767442,0.6111111111111112,21,8,22,0.7241379310344828,0.4883720930232558,0.5833333333333334,15,14,28,0.5172413793103449,0.3488372093023256,0.4166666666666666,450,379,1330,1,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,smoothed_frames,other,13408,11536,0.9754680998613038,0.8392750596658711,0.9022610647851188,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,161,1896,98,11253,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,raw_windows,attack,1902,2192,0.7290145985401459,0.8401682439537329,0.7806546165119688,14,10,4,0.5833333333333334,0.7777777777777778,0.6666666666666666,13,11,5,0.5416666666666666,0.7222222222222222,0.619047619047619,9,15,9,0.375,0.5,0.4285714285714285,1598,293,0,11,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,raw_windows,investigation,2542,3616,0.546183628318584,0.7769472856018883,0.6414420266320233,21,24,26,0.4666666666666667,0.4468085106382978,0.4565217391304347,19,26,28,0.4222222222222222,0.4042553191489361,0.4130434782608695,12,33,35,0.2666666666666666,0.2553191489361702,0.2608695652173912,246,1975,0,321,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,raw_windows,mount,32,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,12,20,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,raw_windows,other,14020,12688,0.9738335435056746,0.8813124108416548,0.9252658379511756,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,336,1328,0,12356,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,smoothed_frames,attack,1902,2208,0.7237318840579711,0.8401682439537329,0.7776155717761558,14,11,4,0.56,0.7777777777777778,0.6511627906976745,13,12,5,0.52,0.7222222222222222,0.6046511627906976,9,16,9,0.36,0.5,0.4186046511627906,1598,293,0,11,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,smoothed_frames,investigation,2542,3616,0.546183628318584,0.7769472856018883,0.6414420266320233,21,24,26,0.4666666666666667,0.4468085106382978,0.4565217391304347,19,26,28,0.4222222222222222,0.4042553191489361,0.4130434782608695,12,33,35,0.2666666666666666,0.2553191489361702,0.2608695652173912,262,1975,0,305,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,smoothed_frames,mount,32,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,12,20,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse069_20160709_16-02-03,smoothed_frames,other,14020,12672,0.9750631313131312,0.8813124108416548,0.9258204705529748,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,336,1328,0,12356,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse070_20160709_16-58-36,raw_windows,attack,3487,6128,0.5533616187989556,0.9724691712073416,0.7053562142485699,34,21,33,0.6181818181818182,0.5074626865671642,0.5573770491803278,26,29,41,0.4727272727272727,0.3880597014925373,0.4262295081967214,13,42,54,0.2363636363636363,0.1940298507462686,0.2131147540983607,3391,96,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse070_20160709_16-58-36,raw_windows,investigation,2616,1776,0.3868243243243243,0.2626146788990826,0.3128415300546448,28,17,98,0.6222222222222222,0.2222222222222222,0.327485380116959,22,23,104,0.4888888888888889,0.1746031746031746,0.2573099415204678,9,36,117,0.2,0.0714285714285714,0.1052631578947368,1579,687,0,350,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
