epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
1,0.8185292422000704,0.6572940139120211,0.8254695369255921,0.6556205972814764,0.5732397605869547,165.75912404060364,5e-05,5e-05,50.8,9.15,9.0,1.14,38.0,15.7,0.1695945945945945,0.7629179331306991,0.2775013819789939,0.8331943286071727,0.5866118614210217,0.6884906960716747,0.9154727793696276,0.4506346967559944,0.6039697542533081,0.6322026022304833,0.8442444927086565,0.7229972100438421,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
2,0.6042401611594758,0.7669736455373763,0.5614064781793526,0.7947216985812084,0.7245362268007068,172.5780873298645,5e-05,5e-05,50.6,9.18,9.0,1.14,37.0,15.3,0.407725321888412,0.5775075987841946,0.4779874213836478,0.7892747885549757,0.8584850264239577,0.8224264016501031,0.8636715724244771,0.7863187588152327,0.8231819859726837,0.8386980108499096,0.7195159789016444,0.7745490981963928,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
3,0.5570238326270378,0.7870089154501813,0.6306312806712139,0.74104573866455,0.6948604177195936,172.51556396484375,5e-05,5e-05,50.7,9.16,9.0,1.14,37.0,15.5,0.3652892561983471,0.6717325227963525,0.4732334047109208,0.8536460989291178,0.6553141514973576,0.7414461299966781,0.8698412698412699,0.7729196050775741,0.8185212845407019,0.6533084808946877,0.8699968973006516,0.7462408516300733,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
4,0.5220865673709626,0.7995983148819438,0.5860551664901394,0.7673380295664253,0.7144969405389081,172.7856991291046,5e-05,5e-05,50.8,9.17,9.0,1.14,37.0,15.5,0.4003656307129798,0.6656534954407295,0.5,0.8328504568754179,0.7314542963397925,0.7788661942476031,0.9006908462867013,0.735543018335684,0.8097826086956522,0.703627476202727,0.8485882717964629,0.7693389592123768,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
5,0.515897290871645,0.8009699226021358,0.5562138600674059,0.7760690544696894,0.7415878403891492,173.1858310699463,5e-05,5e-05,50.7,9.17,8.0,1.14,37.0,15.4,0.5289672544080605,0.6382978723404256,0.578512396694215,0.847238271319621,0.7175572519083969,0.7770241627808393,0.831275720164609,0.8547249647390691,0.8428372739916551,0.701565306646138,0.8482780018616196,0.7679775280898876,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
6,0.5044271864090407,0.8054766336827667,0.4939973982967554,0.8153586665343784,0.7646526190876213,172.9041132926941,5e-05,5e-05,50.7,9.17,9.0,1.14,37.0,14.8,0.544,0.6200607902735562,0.5795454545454546,0.8242540904716074,0.8381287923272656,0.8311335403726707,0.854978354978355,0.8356840620592384,0.8452211126961483,0.8155619596541787,0.79025752404592,0.8027103687362118,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
7,0.4870896697902707,0.8129225041638092,0.5064316085170186,0.8101002083540034,0.7507542241080037,172.93262815475464,5e-05,5e-05,50.8,9.16,9.0,1.14,37.0,15.2,0.4507042253521127,0.6808510638297872,0.5423728813559323,0.8286384976525821,0.8291250733998825,0.8288817141179924,0.8946058091286307,0.7602256699576869,0.8219595882577202,0.804594180704441,0.815079118833385,0.8098027127003699,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
8,0.4694872212838556,0.8228176741451945,0.5035342142163288,0.8204186923305884,0.7574443750613701,172.8876495361328,5e-05,5e-05,50.7,9.15,9.0,1.14,37.0,14.0,0.452,0.6869300911854104,0.5452352231604344,0.8117668290922216,0.8804071246819338,0.8446948356807512,0.8870967741935484,0.7757404795486601,0.8276899924755455,0.8738384560400286,0.7586099906919019,0.8121574489287493,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
9,0.4724609294153026,0.8206622905848927,0.51503883067755,0.8121837483877369,0.7457663817707328,172.94278860092163,5e-05,5e-05,50.9,9.17,8.0,1.14,38.0,15.7,0.4023569023569023,0.7264437689969605,0.5178764897074757,0.818642160540135,0.8543746330005872,0.8361268077770329,0.8910310142497905,0.7496473906911142,0.8142474147836077,0.8510135135135135,0.7815699658703071,0.8148148148148149,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
10,0.4700923877006227,0.8220338983050848,0.5495603080410215,0.7848992955650362,0.7300559510070924,173.02459025382996,5e-05,5e-05,50.8,9.16,8.0,1.14,38.0,16.2,0.513953488372093,0.6717325227963525,0.5823451910408431,0.8038446449588074,0.8021139166177335,0.8029783481924171,0.897876643073812,0.6262341325811002,0.7378479434981305,0.7591240875912408,0.8389699038163202,0.7970523212969787,animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed44,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44
