run,window,collar_frames,mean_macro_precision,mean_macro_recall,mean_macro_f1,sd_macro_f1,n_videos,median_heldout_bout_frames
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,30,0.47987831819545795,0.304486327574514,0.34845466598112573,0.0946026771165623,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,0,0.006084473580669566,0.0050862688729156795,0.005418357528920149,0.005957808688588383,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,1,0.03157486349447412,0.04231491413121234,0.03166969567158416,0.029134396658541832,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,2,0.08232623031012794,0.10307804139753977,0.08184232402121393,0.03261155842996422,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,3,0.13252504426710723,0.15797068059242894,0.13277878390802647,0.05714423196035487,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,4,0.18636834872918073,0.22579905935527372,0.18743450931137168,0.08301628377012342,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,5,0.26451041364824796,0.3024380242389054,0.2624637338150942,0.10235221471062349,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,6,0.32747108357201044,0.35987188540475357,0.3206449439692574,0.1222270271047343,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,7,0.3528194978624462,0.3998881607043185,0.3463388205320167,0.12238186754272963,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8,0.365072031150074,0.411389799548023,0.3575883075449612,0.11636155606360858,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,9,0.3791023599440104,0.4232399650874223,0.37017244519993164,0.1064863158987856,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,10,0.38590867684216584,0.4281636081543512,0.3757926794594679,0.10601764055542716,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,11,0.3960486140342589,0.43776634977432183,0.3852085685892913,0.11036070162847239,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,12,0.41122431470479287,0.4492912956560183,0.3980910643136455,0.11903931804401971,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,13,0.41952765341264586,0.459650765061214,0.40591952165509226,0.11572624939459919,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,14,0.4268288868638971,0.4651396725127805,0.41209669431424534,0.11576177166028048,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,15,0.4363858993909018,0.472043717428509,0.4200431434045595,0.11425635223139284,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,16,0.44225033734166885,0.47650794986141276,0.42506340472876314,0.11356084669749773,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,17,0.4476476551390176,0.48054299327747635,0.42962660962085264,0.11540230135681812,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,18,0.454718515547414,0.48586112690823235,0.4356339555055945,0.11698248072576253,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,19,0.4577116260835055,0.4878470570591965,0.4379843264401309,0.11660588335092512,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,20,0.47093655149674707,0.4990131375327712,0.44993065026989737,0.11993381335350525,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,21,0.4731466657740862,0.5003204761821876,0.4515671741317986,0.12125109936974893,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,22,0.47644890544339,0.5025242078177212,0.45417456569177467,0.12095782009983629,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,23,0.48222348210741356,0.5076020301576777,0.45947970941291577,0.1229747577315177,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,24,0.4857226001241523,0.5104571552451034,0.4625875766793112,0.122783800694332,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,25,0.48822369355338163,0.5123324577609931,0.464698115981897,0.12310327121786888,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,26,0.49147414709549303,0.5144081284754092,0.4672113795915182,0.1237798841533713,5,4.0
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,27,0.49763763004278516,0.5265065798321025,0.4742993959128795,0.11757474602372699,5,4.0
