source,run,window,track,seed,prediction_type,movie_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,7,424,182,0.42924528301886794,4,127,179,421,0.7094972067039106,0.3016627078384798,0.42333333333333334
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,7,424,182,0.42924528301886794,1,170,182,424,0.9340659340659341,0.4009433962264151,0.5610561056105611
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,7,424,182,0.42924528301886794,2,164,181,423,0.9060773480662984,0.3877068557919622,0.543046357615894
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,7,424,182,0.42924528301886794,3,157,180,422,0.8722222222222222,0.37203791469194314,0.521594684385382
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,7,424,182,0.42924528301886794,4,151,179,421,0.8435754189944135,0.3586698337292161,0.5033333333333333
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,7,424,348,0.8207547169811321,1,309,348,424,0.8879310344827587,0.7287735849056604,0.8005181347150259
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,7,424,348,0.8207547169811321,2,275,347,423,0.792507204610951,0.6501182033096927,0.7142857142857143
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,7,424,348,0.8207547169811321,3,243,346,422,0.7023121387283237,0.5758293838862559,0.6328125
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,7,424,348,0.8207547169811321,4,214,345,421,0.6202898550724638,0.5083135391923991,0.5587467362924282
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,7,424,348,0.8207547169811321,1,323,348,424,0.9281609195402298,0.7617924528301887,0.8367875647668394
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,7,424,348,0.8207547169811321,2,309,347,423,0.8904899135446686,0.7304964539007093,0.8025974025974025
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,7,424,348,0.8207547169811321,3,294,346,422,0.8497109826589595,0.6966824644549763,0.765625
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,7,424,348,0.8207547169811321,4,274,345,421,0.7942028985507247,0.6508313539192399,0.7154046997389033
null,GT composition shuffle,null,GT composition shuffle,0,raw,8,626,626,1.0,1,626,626,626,1.0,1.0,1.0
null,GT composition shuffle,null,GT composition shuffle,0,raw,8,626,626,1.0,2,538,625,625,0.8608,0.8608,0.8607999999999999
null,GT composition shuffle,null,GT composition shuffle,0,raw,8,626,626,1.0,3,467,624,624,0.7483974358974359,0.7483974358974359,0.7483974358974359
null,GT composition shuffle,null,GT composition shuffle,0,raw,8,626,626,1.0,4,418,623,623,0.6709470304975923,0.6709470304975923,0.6709470304975923
null,GT Markov baseline,null,GT Markov baseline,0,raw,8,626,626,1.0,1,556,626,626,0.8881789137380192,0.8881789137380192,0.8881789137380192
null,GT Markov baseline,null,GT Markov baseline,0,raw,8,626,626,1.0,2,528,625,625,0.8448,0.8448,0.8447999999999999
null,GT Markov baseline,null,GT Markov baseline,0,raw,8,626,626,1.0,3,498,624,624,0.7980769230769231,0.7980769230769231,0.7980769230769231
null,GT Markov baseline,null,GT Markov baseline,0,raw,8,626,626,1.0,4,458,623,623,0.7351524879614767,0.7351524879614767,0.7351524879614767
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,8,626,316,0.5047923322683706,1,298,316,626,0.9430379746835443,0.476038338658147,0.6326963906581742
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,8,626,316,0.5047923322683706,2,270,315,625,0.8571428571428571,0.432,0.5744680851063829
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,8,626,316,0.5047923322683706,3,239,314,624,0.7611464968152867,0.38301282051282054,0.5095948827292112
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,8,626,316,0.5047923322683706,4,211,313,623,0.6741214057507987,0.33868378812199035,0.4508547008547008
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,8,626,316,0.5047923322683706,1,286,316,626,0.9050632911392406,0.45686900958466453,0.6072186836518046
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,8,626,316,0.5047923322683706,2,253,315,625,0.8031746031746032,0.4048,0.5382978723404256
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,8,626,316,0.5047923322683706,3,224,314,624,0.7133757961783439,0.358974358974359,0.47761194029850745
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,8,626,316,0.5047923322683706,4,199,313,623,0.6357827476038339,0.31942215088282505,0.42521367521367526
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,8,626,476,0.7603833865814696,1,440,476,626,0.9243697478991597,0.7028753993610224,0.7985480943738658
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,8,626,476,0.7603833865814696,2,397,475,625,0.8357894736842105,0.6352,0.7218181818181818
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,8,626,476,0.7603833865814696,3,349,474,624,0.7362869198312236,0.5592948717948718,0.6357012750455373
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,8,626,476,0.7603833865814696,4,309,473,623,0.653276955602537,0.4959871589085072,0.5638686131386861
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,8,626,476,0.7603833865814696,1,445,476,626,0.9348739495798319,0.7108626198083067,0.8076225045372051
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,8,626,476,0.7603833865814696,2,413,475,625,0.8694736842105263,0.6608,0.750909090909091
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,8,626,476,0.7603833865814696,3,379,474,624,0.79957805907173,0.6073717948717948,0.6903460837887068
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,8,626,476,0.7603833865814696,4,348,473,623,0.7357293868921776,0.5585874799357945,0.635036496350365
null,GT composition shuffle,null,GT composition shuffle,0,raw,9,64,64,1.0,1,64,64,64,1.0,1.0,1.0
